protein,gene,R100IS,R101IS,R103IS,R104IS,R105IS,R106IS,R108IS,R109IS,R10IS,R110IS,R111IS,R113IS,R114IS,R115IS,R116IS,R119IS,R11IS,R122IS,R123IS,R125IS,R126IS,R127IS,R128IS,R129IS,R12IS,R130IS,R131IS,R133IS,R134IS,R135IS,R136IS,R137IS,R138IS,R13IS,R140IS,R141IS,R142IS,R143IS,R144IS,R145IS,R148IS,R149IS,R14IS,R150IS,R151IS,R152IS,R154IS,R156IS,R157IS,R15IS,R161IS,R162IS,R163IS,R166IS,R167IS,R168IS,R169IS,R16IS,R170IS,R171IS,R172IS,R173IS,R177IS,R178IS,R179IS,R17IS,R180IS,R181IS,R182IS,R183IS,R184IS,R185IS,R186IS,R187IS,R189IS,R190IS,R192IS,R193IS,R194IS,R195IS,R196IS,R198IS,R199IS,R19IS,R1IS,R200IS,R201IS,R202IS,R204IS,R205IS,R206IS,R207IS,R208IS,R209IS,R20IS,R210IS,R211IS,R215IS,R217IS,R218IS,R220IS,R222IS,R223IS,R225IS,R226IS,R227IS,R228IS,R229IS,R22IS,R231IS,R232IS,R233IS,R235IS,R236IS,R238IS,R239IS,R23IS,R240IS,R241IS,R242IS,R243IS,R244IS,R245IS,R246IS,R249IS,R24IS,R251IS,R252IS,R253IS,R257IS,R259IS,R25IS,R260IS,R263IS,R264IS,R265IS,R266IS,R267IS,R268IS,R26IS,R272IS,R273IS,R274IS,R277IS,R279IS,R27IS,R281IS,R282IS,R283IS,R284IS,R286IS,R287IS,R289IS,R28IS,R291IS,R293IS,R294IS,R295IS,R297IS,R298IS,R299IS,R29IS,R302IS,R303IS,R304IS,R306IS,R308IS,R309IS,R30IS,R310IS,R311IS,R312IS,R313IS,R314IS,R317IS,R318IS,R31IS,R320IS,R323IS,R324IS,R326IS,R327IS,R328IS,R329IS,R32IS,R331IS,R332IS,R333IS,R334IS,R337IS,R339IS,R33IS,R340IS,R341IS,R342IS,R343IS,R345IS,R349IS,R34IS,R350IS,R351IS,R353IS,R354IS,R355IS,R356IS,R357IS,R358IS,R360IS,R361IS,R362IS,R363IS,R367IS,R368IS,R36IS,R370IS,R371IS,R372IS,R374IS,R375IS,R376IS,R377IS,R378IS,R379IS,R37IS,R380IS,R381IS,R382IS,R384IS,R387IS,R388IS,R389IS,R38IS,R391IS,R392IS,R393IS,R394IS,R396IS,R397IS,R398IS,R39IS,R3IS,R400IS,R401IS,R403IS,R404IS,R406IS,R407IS,R409IS,R40IS,R410IS,R412IS,R413IS,R414IS,R415IS,R416IS,R417IS,R418IS,R419IS,R41IS,R420IS,R421IS,R422IS,R423IS,R424IS,R425IS,R426IS,R427IS,R428IS,R429IS,R42IS,R430IS,R431IS,R432IS,R433IS,R434IS,R435IS,R436IS,R437IS,R438IS,R439IS,R43IS,R440IS,R441IS,R442IS,R443IS,R444IS,R445IS,R446IS,R447IS,R448IS,R449IS,R44IS,R450IS,R451IS,R452IS,R453IS,R454IS,R455IS,R456IS,R457IS,R458IS,R459IS,R45IS,R460IS,R461IS,R462IS,R463IS,R464IS,R465IS,R466IS,R467IS,R468IS,R469IS,R470IS,R471IS,R472IS,R473IS,R474IS,R475IS,R476IS,R477IS,R478IS,R479IS,R47IS,R480IS,R481IS,R482IS,R483IS,R484IS,R485IS,R486IS,R487IS,R488IS,R489IS,R48IS,R490IS,R491IS,R492IS,R493IS,R494IS,R495IS,R496IS,R497IS,R498IS,R499IS,R49IS,R500IS,R501IS,R502IS,R503IS,R504IS,R505IS,R506IS,R507IS,R508IS,R52IS,R53IS,R54IS,R55IS,R58IS,R59IS,R5IS,R60IS,R62IS,R63IS,R64IS,R66IS,R67IS,R69IS,R6IS,R71IS,R72IS,R73IS,R74IS,R75IS,R76IS,R77IS,R78IS,R79IS,R7IS,R81IS,R82IS,R83IS,R84IS,R85IS,R86IS,R87IS,R88IS,R89IS,R8IS,R90IS,R91IS,R92IS,R93IS,R94IS,R95IS,R96IS,R97IS,R98IS,R99IS,R9IS
P0DOX2,IGHA2,284930,366200,465300,190540,146200,102200,314850,70008,267070,335150,112520,121410,115380,378420,285130,322780,206950,253880,50568,118760,134250,138740,223360,129620,1841800,187740,109600,139050,114340,93185,122810,112580,1775000,500910,196530,89132,80243,483460,139170,246430,51028,129910,439930,56258,140330,80642,94680,69836,62545,670020,59373,58278,88637,1375900,328850,56788,196060,350320,78026,132540,55178,355020,153040,422790,98075,193400,540970,416900,86696,128230,251540,124480,117100,99159,70140,139780,116210,390050,121240,59374,83865,1763300,1307000,437330,190030,351240,95173,89619,81690,179960,324210,123540,123110,53916,88869,279050,42161,62969,450900,55012,70868,83316,441850,78469,2914800,131670,162420,164860,74496,1634800,322550,325340,353750,216590,416430,202560,286680,191760,76153,1698300,36755,57987,81386,54989,68742,171280,59708,483580,86561,481000,52393,172550,83319,55781,95445,299880,203100,552560,508320,585250,130820,1126100,271050,1295300,2265700,145200,337560,2263800,418910,368780,275020,189570,332430,115040,460560,319850,235890,245080,417570,151430,314000,251600,467000,515130,523090,387600,281610,5006700,147980,122670,213030,165830,394340,334800,387640,461460,416810,438740,325480,323960,289880,159750,265560,496510,445970,404630,390780,506850,436340,213560,157970,193040,321020,346380,639010,394150,2027700,258940,409560,545130,489250,2202600,431480,308300,318120,264920,324800,97121,328980,249650,194070,375560,169500,493450,261380,530710,129610,487710,474970,440330,341420,216020,322610,2618300,94454,308800,366900,693920,295140,566850,403980,454380,487180,454960,392780,223580,570850,543620,236880,190250,229930,387130,525810,383610,411380,192310,808630,183280,531750,1926000,1299400,506890,105230,193020,198620,81468,41462,177140,1448400,103910,616680,225590,1076500,590510,84401,123010,1098300,903830,153410,491750,400260,150090,205960,847610,871240,305370,201750,706140,825750,754290,175640,507980,663650,469030,705830,300620,770940,1039200,933360,213340,849330,467030,869570,228770,591090,133760,1310000,217130,662290,332560,790910,138700,175400,141150,366020,1123400,900610,104110,541430,993190,184610,836140,151520,3068800,406110,540650,769390,172950,180280,510140,521280,147090,198390,397570,1036700,1117300,621000,468730,348060,145370,488180,294020,126760,97492,616640,469130,426570,969120,653160,812470,712160,513980,503890,196500,508390,180420,166230,437740,527890,457070,540730,530330,799830,935900,127520,377870,495860,262770,135170,706560,454090,142080,810970,354450,290570,137910,121330,387690,186580,151050,294200,114400,284370,170490,237570,301650,439520,470470,341370,188360,510720,195620,118480,416580,238080,111990,374120,352590,403050,155970,231770,337420,103150,141450,455590,294660,1872000,434710,326400,2455800,58384
P0DOX3,IGHD,,,,97635,,202130,,,91245,,0,66531,92153,,,,68571,,50187,153740,26389,,0,166830,0,111930,117510,208980,147240,55681,0,44900,,,106810,307610,131000,402590,72347,,,161810,,0,247420,57769,,171580,,0,,195280,0,,,77951,,,84764,,119160,146260,,301730,,112770,61811,153850,41613,368870,,0,,,85505,,,77610,55452,72647,,50290,50603,,128090,,,47591,67160,56694,28397,,,,,42220,,24549,0,197400,,123820,,,0,,,,35440,,,100420,80528,,0,,,,,58520,18527,,,,104570,30514,,80886,198230,60102,,81384,,,61647,,112980,0,,69893,861160,48548,,78990,,194820,326700,,,56620,0,,,341300,74568,64679,,161790,,,69284,127150,,132890,784090,951060,,54236,27620,,74521,,,70107,168260,,,,,,,,,,137310,,,,70874,105700,,43328,42597,,113670,,68984,,,397720,,,,69562,,111040,79816,117010,113070,68189,,74252,89568,,,,,,0,,,,72132,70193,,,,87341,,,198670,,,,53248,189290,54459,,,0,0,,,78846,,,55985,,,184470,0,,,,,,,,94208,,,,,,,,0,,,77896,0,,,,,,,0,0,23444,37553,,,,0,0,,,,,,61697,0,0,,,0,,,,0,,165930,224110,145430,0,0,,,175390,,,0,,0,,,154550,,60887,,24485,,71031,,139780,54947,81413,0,0,141450,0,155700,,46731,,144210,0,,,,,127080,,,,,,148980,,,,,,,455070,,,0,58113,,88368,0,80215,73429,226320,34907,,49562,63515,49519,133110,398330,76853,72889,,0,,,96997,,465390,68012,80419,111420,27005,,,,0,,0,0,,,,101690,,,75316,103370
P0DOX7,IGKC,779870,545560,463310,704790,510060,511040,866440,7358,1044500,129290,508770,180170,124700,1086000,180810,826950,486140,434520,15002,564330,299500,36643,964250,34891,665940,508920,188470,248960,377220,11888,458150,1035800,411820,687100,266140,147200,355480,630750,302490,473010,348940,14085,900020,732270,368810,499090,684190,627310,471770,531430,713340,445910,220730,151130,547650,300260,500010,890550,307250,635220,537350,654070,1053500,1017000,371120,667520,1039000,712430,35579,445890,633230,432410,158150,164460,1031400,634580,246370,800940,130000,319330,453530,710410,571550,724210,1602300,1105400,314060,5101.5,416360,10716,289290,27206,797920,96331,527560,289400,367320,4134.9,779830,15928,827100,371580,820620,479830,718420,722550,972040,950250,149600,974770,753210,765660,495120,612050,360630,846680,541780,994320,240240,74875,382320,302680,467070,489320,805170,794830,780140,1596700,379170,294300,209610,639460,9105.8,9915.8,852080,554570,708350,521400,1643300,679440,637280,423010,658470,857640,964140,1318400,1870200,893130,386170,1028400,608490,959590,1470500,52808,790380,684500,1154300,1223900,686930,1163400,1038800,287600,668350,1213800,931850,1194800,698230,1197000,301500,789320,789650,592020,1522700,898100,773840,13011,1353700,921590,429940,976570,1366800,18746,1107900,1036600,598210,368510,467470,379050,1353200,1465700,845780,876330,1013300,1073000,1478400,1146100,810090,1164200,928280,1406400,735130,2182100,915910,1099700,1079800,22201,814250,1186500,977260,1929500,467380,1061900,1217900,28887,894530,766810,367330,1288500,1711200,913700,859440,1057300,766170,1233800,1099400,1117400,698520,1060700,842350,1296600,752020,418280,1195900,640850,604950,518020,1216600,1297400,20825,611450,47665,1822800,1161200,713250,874110,584210,705490,814320,1534500,775180,1670600,0,394360,601800,541330,15065,474110,242830,64723,490550,580140,1054000,272160,363390,672180,373930,512870,14136,0,991600,518100,592700,57684,498360,551110,430390,439900,384000,472120,626310,753530,463030,464640,212580,261520,609610,723000,778060,682750,0,,634500,498010,373000,451310,320770,492090,446660,512010,601270,366570,432090,364720,,274150,423540,445330,188170,228570,850480,475330,,302390,86574,758140,194080,224730,383420,373850,130390,,151850,421410,1711100,,386820,409070,92864,0,401040,390860,922700,264220,280480,247820,534760,,368750,,,450610,309500,0,296780,328320,0,321650,608040,290690,127710,331660,493240,204780,,503720,2412400,19146,734270,369280,924220,1521400,724090,71326,627820,501950,74232,836120,1285600,470550,43590,849650,202380,975930,534540,1103800,12505,932530,1878000,813570,341100,300570,2611800,373260,248640,291600,1093300,1108300,345220,693600,296790,697150,1078100,14873,184960,461510,946790,611650,506170,1386300,380180,102610
P0DOX8,IGLC1,2412800,3607100,3869800,954400,1210300,645390,2627400,1066300,3600000,3049400,1155600,1149300,1359400,2866300,943520,3956400,1769600,1678600,1023000,1096200,1138100,1884800,5142800,1070600,1171900,937380,909540,878510,554950,610070,707640,1463300,581740,5284800,280510,2042700,460300,4419700,721360,2736300,993650,731830,4464000,1545300,656670,1246200,1855400,823610,982250,1625900,2816600,896830,1213700,1020200,2711800,1088600,3253400,4690500,946680,1059300,856390,2398200,3163300,2907500,1416700,1666400,2637600,3361400,791750,823290,2774100,382950,886800,1550200,889810,1159900,796950,2944800,1892400,897140,1380500,1251800,1133300,1647300,1839200,3138300,1038700,465700,2752800,1570500,2793100,1326500,1211400,2235700,2215700,1994500,1224900,853310,1267200,686680,2171400,3231200,2332200,743040,1790900,2141000,2691200,2896700,1562200,1799900,2929200,2127200,2021700,1297300,2028600,1497500,4022500,4664600,1470100,2922800,999200,588600,1660200,1532500,2394800,763770,928380,1885600,1374200,1466400,1563500,1552900,1112800,2110000,1828000,2440500,2316300,1610600,4835300,3714000,969950,4745600,1342900,725440,3318300,3090100,2648900,4847000,2111500,1932700,2844200,2182200,1106200,479720,1750800,1812800,4656800,1453600,890960,2600000,4140000,904040,2205100,1742000,1895900,1724300,2485200,1138500,1549900,4577500,3226800,2906200,2790300,2429000,2831300,3238100,4564900,1975200,705700,6189300,6735800,1641100,2887900,2640200,3877900,410930,3300300,1397300,3919800,5224200,2220500,1385300,2203900,2356800,3219100,1622000,1045900,2675000,2454400,2349000,2058000,2140900,1801700,4438000,2720400,2337400,2614600,1752500,3800900,2627800,1881300,2250500,2054500,3381400,2136800,2263800,3243200,2839000,2736500,2387300,2926400,1929900,3516100,7562000,2087200,2782400,4685300,2845100,3352900,3358600,3939400,3180800,3753300,2217100,6642500,1140100,2282800,1962100,2265600,1108800,1883300,3867700,5585100,2677500,6522000,2196400,2415200,2975700,2975100,4576500,792860,719920,1170900,3614800,783680,597880,839580,245540,1512200,1016800,123180,633730,248540,999810,1836200,1969000,4083700,840120,868550,2164700,948840,2237500,408110,2094700,846830,656860,879280,666850,736700,2553900,1664500,1336100,1293300,1561400,815820,1959400,2239700,469250,3044500,528190,1029600,4102200,843300,1528300,220180,1079400,426170,348190,1713800,113460,1199300,1373300,880350,797460,2007700,805480,4331700,2146900,1180100,735140,427550,1626200,2562900,2571000,1259300,875550,1346600,1022400,648300,489470,508990,1148800,815700,2533200,753970,1845000,1689700,1907800,8991700,1512400,1295500,185450,1245200,2463400,105960,1074400,1486400,1452400,891440,587010,668150,790090,751440,1670000,761900,1087300,676210,1710000,1857400,741510,68347,1815100,1563500,1083500,370960,2393500,2523600,4418100,882250,2111400,4591400,1336800,1043300,4135400,3930500,1196100,444400,6286200,1114400,729630,2220000,1200800,3378400,2610500,2556800,4321900,3602200,3009600,3899300,1355000,3297800,4052200,589430,2523800,2474500,687460,2453700,2021700,4741100,964770,3312800,1947400,1448800,986260,3214200,3670900,779970,2505000,2091300,4699400,1819100
P0DOY3,IGLC6,7631700,8371700,4581900,542780,5396000,832020,4067300,551320,4286900,3131100,959390,6189400,2155900,3615800,9275400,9016600,2811800,6823200,12439000,638150,523260,3330000,7797900,632870,1095400,4189500,699780,3184900,1414100,1700400,767740,722540,8579500,8965300,857630,1482100,5281700,1889300,5023800,3908900,811780,671500,6352100,5984800,1588600,2314400,5199200,1358700,1279300,4516800,1441500,1421900,885230,7195400,5345500,1367800,3834500,2936300,1465300,1571700,6076200,5134100,7074300,2419400,969520,673200,5208300,3540800,384210,8201100,6682300,6201400,851810,1317900,3753700,2693100,1236600,15711000,6318800,1904000,2594100,2325100,1538000,4394300,877320,7564200,1321500,1668800,726540,1195700,3910200,2430800,1489900,1269400,1157200,5695600,5116900,1490800,3118400,1053300,1360900,1703500,4693500,2430800,1971200,830430,3660100,2291900,1668200,2697000,8767900,2361100,11054000,1508200,5032800,1264700,6668300,4673200,1062500,4476900,1415500,1485700,7970000,6375000,6447600,5507000,4136400,9763900,1252800,4199400,1842100,807590,8243200,5124400,5261200,2098800,2242500,2425100,3478600,10694000,2003900,560930,3050900,2132700,914410,5217700,1771400,2008000,4836700,1715200,2305300,1597800,2530500,571100,2855100,3814900,3005200,6671300,1555100,4763900,2268500,796430,4154200,2539200,7719400,2503000,2381800,3393700,1113100,2776500,2281000,3279300,3552100,2762100,3280900,4805800,6217700,2425000,2387300,5878600,14818000,3472000,4848200,4193400,2734000,2260100,1985700,3851500,7659200,8153800,3410900,2164200,2923400,3629600,3404800,4274800,6179600,4128200,7028000,8043700,5605000,2401400,4026300,2311100,3318100,5497900,6430400,3130500,7249300,8020200,4021200,2194400,2724400,5205300,3301700,4785400,3594600,4612900,5667300,4920600,7223400,1671100,2741400,7802000,4583600,6761800,4620600,3124700,3185800,6870700,2880100,6051700,7729500,2127300,5228000,7240000,4805700,7149300,6473600,843510,2062700,4870100,3579100,7956900,6682500,2540400,1936300,2446300,4272700,5032800,2351700,2382100,2334600,2160500,3550800,1782400,2751300,1781200,1952000,2221300,2014200,3054700,4092900,3633700,3622900,3852100,6100600,3251700,3312800,2060700,2951100,1905700,7791300,2818700,2290000,2901300,4831900,3743000,2805100,1722300,2476700,3166800,2500300,2664400,4298800,3141600,5473100,3072200,3117900,3205500,3023100,2694100,2693800,3591500,3734100,3554400,2976400,3940400,5985700,4315600,2573900,2442900,1579300,2530600,2586800,1878800,2751100,3416600,3373200,1902300,2261100,4026600,3382400,1932900,1675500,2463200,5950300,2.00E+06,2792600,3005900,2417200,2291800,3477200,9678900,2633800,1941200,3889900,3759000,2917800,3663200,2994800,5492500,3915900,3501300,1364200,2572700,3319500,3219700,2880600,5143100,3311700,2722700,2810900,4175500,3239900,706990,2245700,1924500,5338000,10934000,9549500,3366900,3456600,3398900,4550700,7484900,6274000,3430800,7791400,1912600,3963400,5927700,1094200,1698800,4342300,5405800,7048600,3922800,5854900,7894000,5117500,739800,4676300,10763000,3912200,6353900,12126000,14919000,6497300,976860,2763700,5920600,593150,7754800,9670900,1696600,6404700,7479400,6644500,1207700,2957900,3524200,375730,3687000,8734500,5588700,775130,3430300,11996000,4233000,1255100
A0A075B6I0,IGLV8-61,0,214500,909510,0,827950,,0,272920,,571990,812300,266420,201610,227150,,0,0,,844560,856510,410680,347580,,404980,374430,327690,706490,,311970,78446,59410,603470,,,192600,675800,0,,530440,,81319,727020,618760,165140,219650,68755,0,223540,232420,227080,187480,162700,151800,209580,,174770,,,,393300,631390,0,649240,0,346110,266630,,,303520,298760,0,313230,267780,511410,212380,,,278220,0,78488,,401550,0,557560,349620,0,170570,213160,0,601860,273170,201960,172220,485060,824020,186510,478000,0,0,0,204590,232460,490070,71921,262350,330190,0,,,346830,,407200,0,396450,506880,0,644350,356110,0,,0,476940,173940,401040,,418350,170450,248660,0,404020,281980,732460,157990,416280,187280,0,0,0,769840,483520,0,530880,461150,,435340,0,599200,0,349540,0,0,479390,308730,345410,452280,0,0,,470570,,737430,364320,,0,0,0,0,0,,,441480,,0,,,0,0,330320,74623,523140,674020,363820,400960,493600,,,0,0,0,,,,391000,0,513230,411170,433660,300660,573550,676270,517390,480470,0,0,572660,506510,406520,495510,,469770,398240,416110,350710,550340,0,0,,0,0,,,,,484670,0,0,552500,629560,509080,578360,0,638520,,0,,0,484120,534560,476250,339480,447740,629500,0,658200,594510,310850,366880,367920,,709550,206010,,,,,338840,0,256180,346280,174070,,93080,284500,,265660,86027,365460,0,214050,496280,,,305960,220800,303010,,416380,,,,427380,,319410,350690,,,0,,,324070,,572400,,,361270,,285560,281060,0,,,0,261610,0,,,382020,0,,0,,,,247520,,,,88221,72592,,,,225320,,434800,330410,100540,0,,,356510,,,,137030,,,,79023,,,81035,,,,0,293120,,0,43281,0,,,,,0,0,504650,,0,612920,,1252400,0,,729620,260160,0,,807820,688670,812250,,,,,546450,719950,552080,824440,748440,656570,,569200,,476840,,460990,0,406400,0,138000,76711,,460270,645810,951940,557690,0,,0
A0A075B6K4,IGLV3-10,236900,,220450,77151,249270,132420,243270,105330,,,193600,133130,,175110,,151090,,213010,254810,,199980,191730,,103060,,188990,291230,83923,256320,,193260,79888,131550,,50999,,,137900,147150,,124760,,,68545,,123620,131840,136870,,,109040,108940,149360,166240,,132430,,146720,42291,150310,,,,,226320,129870,,177370,,,161190,119600,,,132760,55600,57377,,68251,79513,44027,,,,,,,86370,59183,49120,274780,45015,93424,,0,64210,34205,86507,,91578,95239,98397,,60486,,86741,133790,,49665,,,,180010,,156420,127990,,200230,39070,,86237,,84747,,,,41512,,75038,,78858,,32165,50075,47287,136430,127780,,,186310,,,,,171390,,,,114220,,,,133000,0,,,208900,153110,,,161100,,,,150010,,,,118300,78351,,,,,,,,,,157870,,,,,,,153420,232050,243210,,149650,,213500,101800,,126950,,,,697900,212310,,127710,,141530,97193,,112020,344540,91385,89857,120540,75965,,,128380,82994,,141890,357330,165880,,,151500,,224440,,159220,,,,,,,,,,140150,,0,,330680,,253470,212180,,150010,,139490,,,0,,144460,87815,164940,,0,,0,125330,,,,0,,85279,120370,,,92522,0,98696,143760,,116710,78437,79763,193870,,122270,84440,114910,94636,248520,,99712,106250,111280,71581,92289,121170,138770,104400,112680,89374,79046,90575,82344,80554,80036,115670,142990,102540,146610,116770,,87459,59734,230680,,62882,317300,,49803,63234,75018,,172140,,55854,69597,128510,195320,,82400,99673,133600,276210,94985,102960,95863,,,118160,70010,85151,,77160,196920,98773,62637,87143,35727,97829,181790,72384,,,46548,,92317,,,105780,,170340,,,168500,,,,,175430,276770,,,178490,,124440,,,140730,,199780,,,,,185240,,94454,200180,172310,152870,186830,,,,167090,,109830,233210,212300,200360,64198,140330,234000,144440,106930
A0A075B6K5,IGLV3-9,76836,113780,,30357,0,27060,75009,31280,87233,88368,34379,31233,43495,44357,0,67086,0,91606,29040,39143,38293,,144760,29309,0,,44871,37716,146680,26845,27997,47191,20985,108040,,28593,20692,131190,20142,101060,16810,51164,132690,,31528,,25677,,24274,,41957,22096,21782,18487,143300,0,47600,0,31072,0,43716,40845,83459,71242,24024,64896,62303,99552,0,35884,76476,23597,,18745,,20947,,48455,18249,,17913,,109420,143280,72945,71748,17387,,,14436,119560,17744,,11882,41423,18536,15063,0,52520,18848,17786,,136370,0,58023,59543,156890,57144,58874,92477,103840,0,68909,43993,65701,73228,70672,57902,,109770,12121,15589,13954,,31491,45516,17004,87112,13426,0,14017,0,15509,31796,14153,119600,,47269,0,95614,43587,50450,86081,29318,0,111860,114340,69660,126910,66929,131580,,144310,36430,132700,136940,100230,118790,98884,,129460,,91411,52192,56643,0,56230,72633,40505,73601,66167,76566,0,72838,55376,72951,82530,0,82634,0,90573,100700,,95733,64707,78502,137290,34002,98696,112650,96389,110030,36703,157230,105240,47023,0,43086,,0,62476,120630,112510,53208,55419,98389,48554,0,138320,75195,74606,103390,67521,,77347,51506,78186,46340,61967,63140,74964,50094,98162,58470,94973,58321,76466,51075,83384,0,60052,69122,67592,64398,163810,65598,,72984,0,0,,272470,142810,92058,60975,130090,64556,100860,0,59378,42422,151980,,0,63309,55388,54467,44279,38469,63377,58459,,77611,69542,,,87107,,47583,55174,85766,93612,,27150,80300,69908,87192,85848,32136,72369,96305,66578,124900,79134,101920,102420,97281,47183,131310,69275,113740,70794,130490,55337,129530,79871,46729,110820,73223,46925,43636,63108,32385,78718,,51856,46966,54815,23529,27064,34143,0,34021,,45201,73243,47340,76494,87025,38839,21049,,47209,62416,67319,55359,94593,15501,91917,36770,77122,0,58126,,53976,44919,29348,40231,32236,39215,44534,,34295,26465,28956,45175,37064,28430,18662,,55074,20259,45350,37831,0,60465,119630,,0,128640,72542,0,43249,,92303,40071,0,95972,0,0,72047,24872,82603,62982,101670,75166,109180,73308,95312,36404,181390,100270,32186,69509,120400,31377,119490,65230,88353,0,75879,0,30078,34244,91371,124270,,90943,67191,,0
A0A075B6P5,IGKV2D-28,,,,559290,749070,786960,,487610,,,585860,647770,,869440,,,1762100,,583240,1930400,1682000,,,624430,,1516000,611630,530820,448840,,646880,811980,533600,,,432160,375960,,594180,,787750,554740,,,700030,824060,396060,427380,423220,,442120,326900,641340,410070,,491490,,,482610,552930,,,,,484020,439850,,,,718840,77047,390500,673420,675640,422830,485620,30573,1069400,572300,604710,718490,,,,687740,,591140,783160,654320,510470,,616160,557570,515620,742180,648420,,,,433960,,,437890,36569,,,,,,,,,,,,,,,,,375210,610380,,398730,467630,611870,487930,,611680,477570,562410,,542760,,419300,,,,,,124320,,,,,,,,539490,,,,,820650,,,,839240,,,,,557500,,,,,,817280,,,,,,,,,,,,,,,158850,,,,,,,,,,,,,,,,,,,,202090,,,,,,,,,,,,,,,,,,,,410680,,,,483100,,,,,,,,,,,1162300,2027100,813860,,,,,,,,,,139410,,,,,,,,,,,,179590,,,,,,,,,,64042,,,,,,,,,,,,0,,,,,,,,161780,,,,,,,,,122340,746640,1176800,,,,,,,,,,75840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,384870,,,509140,928310,,,569560,621950,,3021000,679950,,545280,,,,,,,,887990,,,494110,,,519630,,,,,,,,,,,582540,,,,654740
A0A087WSY6,IGKV3D-15,62908,76186,,33744,51084,,0,332300,67782,218320,39294,36685,,112340,0,64137,49173,54037,29917,48032,48708,47135,,48066,428310,34686,40540,32169,0,2378500,38863,46966,39257,,32906,42728,,92317,,62665,,48654,43694,,,,,,0,67556,,47697,,,95658,16443,69208,83141,36264,42156,209460,189530,65752,69075,55376,51678,0,0,,,70075,59769,,,,,0,59666,44614,,,34256,0,,48913,56140,,,12737,,57430,,,,40020,,,,,,,,61663,,,0,74305,,38825,,62255,84350,0,75672,57775,41933,395640,0,,52149,,,,,,36507,,,,56040,,46502,,,,71362,,323960,71300,92731,74820,,,31285,63430,49829,0,83064,0,,73684,40221,56326,0,59635,75759,59842,,64768,169410,73242,247490,494750,,56232,,,69353,37731,56878,46911,58704,,60810,0,0,81544,78298,42253,101040,58843,44061,46093,83522,75868,41388,72808,55614,80985,56326,222910,57221,0,334570,85311,53902,59324,88737,,118030,47232,77352,57927,,64442,,67184,73076,53916,49613,44454,,112190,99965,62214,,53505,62268,66372,62149,58847,45401,78388,65602,61181,89608,77546,60464,75222,,88827,83724,0,91814,81562,57741,64143,73206,51036,33343,0,83905,124740,150740,91674,43391,146680,63883,90333,,,,481030,,,,,,38862,,,57672,207320,46305,43295,,,52124,274690,67689,72621,60024,41636,55878,0,48434,52711,49835,50243,33389,136990,129550,53337,115030,58442,58857,73953,59156,62616,73828,376020,96608,62011,57164,252460,69714,47438,56709,63164,265220,54176,58125,,40094,52996,38567,51008,54009,191130,44878,39455,45801,55268,38833,30524,28943,147820,47585,41665,0,74767,41880,59757,84875,54545,42690,300340,,103670,57914,61317,63555,64288,,,,67603,49915,51124,55507,64120,53180,0,37249,,31246,53316,49601,45499,90400,45062,50656,,36463,61892,,85028,111550,38109,54160,63829,31805,551550,60273,,,190550,73377,2113800,41689,75855,36107,69930,57676,63560,76883,72207,65929,,51562,81808,99671,,57141,73263,41367,,80985,,43691,,59691,46151,,,242630,291570,62407,61357,65747,40607
