Majority protein IDs,QC8,QC9,QC10,QC11,QC12,QC13,QC14,QC15
P0DPI2,919240000,1000300000,997320000,1213500000,977470000,883050000,961050000,1030800000
A0A0C4DH73,0,154140000,0,0,0,0,0,0
A0AVF1,0,0,0,0,0,0,0,0
A0AVT1,2709600000,2529300000,2626000000,2935700000,2820000000,2491800000,2455900000,2650400000
A0FGR8,302320000,284210000,295470000,310980000,257200000,241540000,222950000,154680000
A0MZ66,1585000000,1410000000,1555300000,1315800000,1325300000,1610100000,1604100000,1930600000
A1A4S6,0,13523000,0,0,0,0,0,0
A1L0T0,738680000,767540000,762440000,864490000,711230000,667360000,592600000,535140000
A1X283,243670000,274900000,295640000,251780000,224630000,243980000,276000000,218530000
A1XBS5,0,0,0,0,0,0,0,0
A2RRP1,61664000,101790000,106730000,145000000,76332000,99083000,69072000,49829000
A3KMH1,0,73731000,83868000,0,0,0,59882000,0
A3KN83,0,61354000,75796000,68817000,0,83702000,84617000,73303000
A4D1E9,111770000,81525000,104570000,104880000,108490000,91862000,111480000,88369000
A5D8V6,0,10095000,0,0,0,0,0,0
A5PLL7,63239000,0,0,53766000,190060000,41067000,41919000,28859000
A5PLN9,0,0,0,0,0,0,0,0
A5YKK6,746800000,720540000,733970000,858710000,928480000,652440000,775830000,589000000
Q9GZQ8,241010000,211550000,242170000,267510000,252280000,224040000,232750000,220920000
A6ND36,21305000,0,0,0,0,0,0,0
A6NDG6,709320000,731020000,694430000,744290000,533740000,596070000,776130000,662980000
A6NDU8,79409000,84474000,79815000,0,76355000,72957000,76426000,0
A6NED2,0,0,0,0,0,0,0,0
A6NFN3,34775000,0,0,0,0,0,0,0
A6NFQ7,0,173380000,0,0,0,0,0,0
A6NGY5,0,146240000,0,0,0,0,0,0
A6NHL2,0,920420000,0,0,0,0,0,0
A6NHQ2,0,0,0,0,0,0,0,0
A6NHR9,110480000,134140000,154710000,172290000,207590000,127250000,137040000,126480000
A6NHX0,0,0,0,0,0,0,0,0
A6NIH7,211520000,0,0,170440000,188680000,214930000,190500000,206040000
A6NIL9,0,206710000,0,0,0,0,0,0
A6NJ78,110140000,79863000,85696000,88099000,0,87652000,107360000,113620000
A6NKT7,0,43632000,0,0,0,0,0,0
A6QL63,0,3018000,0,0,0,0,0,0
Q9NQA3,0,0,0,0,0,0,0,0
A8MPP1,0,4142900000,0,0,0,0,0,0
P62308,822110000,699490000,814380000,492130000,748110000,662900000,462980000,639040000
A8MXV4,139480000,123930000,133450000,172760000,100190000,136210000,176420000,139230000
B2RUZ4,0,0,0,0,0,0,0,0
Q13765,4189300000,3931100000,3842800000,4092100000,3644800000,3282600000,3486300000,4019400000
E9PRG8,33857000,126400000,193530000,118620000,139130000,0,0,0
L0R6Q1,0,0,0,0,0,0,0,75302000
O00115,0,59494000,0,0,0,0,0,0
O00116,1589600000,1772800000,1854600000,1797400000,1431800000,1510400000,1517900000,1618100000
O00139,78837000,98734000,95515000,103420000,0,71152000,0,0
O00148,720130000,667520000,662750000,646460000,665300000,654690000,589670000,484090000
O00151,618400000,674930000,683820000,623800000,616330000,701910000,696140000,655890000
O00154,3755300000,3994200000,4193600000,4098100000,4113300000,3869000000,3585300000,4182000000
O00159,1359900000,1261600000,1318600000,1398600000,1398300000,1376900000,1355600000,1234200000
O00161,126370000,150210000,141500000,180580000,136480000,139860000,148790000,129920000
O00165,0,6622800,0,0,0,0,0,0
O00170,726390000,729370000,680240000,744770000,725270000,745260000,700060000,726330000
O00178,295520000,273060000,287630000,362680000,310650000,263650000,320740000,233890000
O00180,0,0,0,0,0,0,0,0
O00186,77411000,74982000,62968000,93176000,86305000,82758000,86363000,72661000
O00192,0,0,0,13945000,0,26057000,0,0
O00193,0,1432600,0,0,0,0,0,0
O00203,1286500000,1299500000,1313800000,1474500000,1371200000,1333800000,1391400000,1389200000
O00204,28351000,0,0,0,0,0,0,0
O00217,108700000,103620000,112590000,148330000,116340000,115060000,131070000,68868000
O00231,3946200000,4079400000,3871900000,4039500000,4278200000,3881700000,3879600000,3602700000
O00232,3327300000,3186400000,3160300000,3090400000,3121800000,3155400000,2993900000,3061800000
O00233,630060000,574980000,533860000,500290000,477210000,633790000,565940000,588280000
O00244,417260000,368270000,384740000,262600000,241740000,520980000,503790000,576830000
O00264,1274900000,1266900000,1130200000,954730000,929020000,1198500000,1170000000,1484900000
O00267,600730000,594410000,680600000,560760000,585780000,589540000,719100000,635800000
O00273,892070000,863350000,844910000,793280000,975520000,889240000,803940000,891310000
O00291,15894000,0,0,0,40749000,0,23467000,12309000
O00299,11554000000,12021000000,12077000000,11038000000,10368000000,10944000000,11458000000,11310000000
O00303,2656700000,2581500000,2520600000,2802800000,2913900000,2627400000,2889500000,2573000000
O00308,0,0,0,0,0,20566000,0,0
O00330,100970000,78900000,91804000,100800000,81618000,112230000,112050000,158360000
O00391,0,12391000,0,0,0,0,0,0
O00399,31190000,0,0,0,0,0,0,0
O00401,105530000,96250000,94822000,95601000,78044000,123580000,136780000,155440000
O00408,0,3387500,0,0,0,0,0,0
O00410,7074800000,7293900000,7312600000,7301300000,7433000000,6695700000,6702900000,5998300000
O00411,367950000,372520000,383790000,443530000,350490000,354680000,337230000,226960000
O00422,306790000,280950000,327950000,292550000,297410000,305260000,294040000,171250000
O00423,0,49255000,0,0,0,0,0,0
O00425,2299900000,2279500000,2234900000,2349800000,1927500000,2244600000,2231200000,2444200000
O00429,1193700000,1190200000,1300300000,1317100000,1209300000,1137800000,1100100000,1091900000
O00442,379190000,351270000,315300000,395560000,297430000,327980000,364330000,367030000
