protein,B195,B200,B282,B297,B329,B381,B384,B413,B433,B467,B195,B200,B282,B297,B329,B381,B384,B413,B433,B467
A0A075B6K4,1.413528035,NA,1.874579987,1.444226835,2.181247319,2.133350108,NA,NA,NA,NA,2.560759,NA,NA,NA,1.466929,NA,2.66384,1.592591,NA,2.655124
A0A075B6K5,1.459194622,1.856962142,0.77871865,0.492509672,0.946345605,0.758129507,0.914128064,0.539407175,1.699732757,1.079767373,2.032511,2.03324,1.262121,1.065633,1.281274,1.177177,1.581058,NA,3.174798,1.939326
A0A087WSY6,0.71272451,0.241599915,0.355700862,NA,0.397928948,0.243394788,1.418831129,0.22368984,0.442911584,0.212460336,0.5226096,0.3022571,0.4212533,0.3750085,NA,0.253754,0.3796045,2.602072,0.5473424,NA
A0A0A0MRZ8,0.942880031,0.4290225,0.872841659,1.303574205,NA,1.038615702,0.668768133,NA,2.216729932,NA,3.051666,NA,NA,NA,1.881599,1.957924,NA,1.786194,4.879352,2.480133
A0A0B4J1U7,NA,1.895901237,4.027534716,0.875646959,1.490001532,NA,1.019235978,1.109714323,0.69926378,NA,NA,1.009281,1.579839,1.642639,0.9936304,1.301347,0.8167147,0.922555,0.5595545,NA
A0A0B4J1X5,2.201627321,3.113512058,3.726252856,2.82141556,2.214453591,4.28763844,1.29414577,2.432622841,5.310305063,1.14253882,1.591251,1.683484,2.9047,2.058546,2.408083,1.182031,NA,1.769092,3.830514,0.7074182
A0A0B4J1Y9,NA,1.305987988,2.038678999,NA,1.418645047,NA,NA,1.578000912,0.89846792,1.818898366,2.230252,NA,3.86203,NA,NA,1.884864,4.564197,NA,NA,NA
A0A0C4DH25,1.168252489,NA,1.442307053,1.059941108,0.789572427,2.066182389,1.175639615,1.35710584,1.697375363,NA,0.7414174,NA,1.427702,NA,1.668862,0.6233487,2.766835,2.471064,2.67999,NA
A0A0C4DH31,1.598066718,1.653877238,NA,2.232279648,NA,2.450631468,3.43660457,5.833852488,2.828630548,2.363994123,3.090888,2.014327,1.562017,1.761069,3.075635,3.500534,1.428257,2.155197,2.396699,1.534202
A0A0C4DH34,NA,0.490126013,2.432175053,0.628484379,0.42333696,0.457112008,0.457593724,NA,0.328305112,0.373065687,NA,0.3646891,0.6499668,0.7110362,0.3557855,0.4769302,0.4083585,NA,0.2564094,NA
A0A0C4DH55,0.408569107,1.235610821,1.256140622,NA,1.226294363,0.84351003,0.963312688,1.247018229,NA,1.185874398,1.264,1.357055,1.809401,2.454499,1.016762,0.9555929,0.7267945,NA,NA,0.7567719
A0A0C4DH68,0.672525444,1.604163742,1.199462678,1.940026178,0.792622411,1.155805365,0.77130295,0.483166152,4.189672339,1.669255556,0.560914,0.6126805,NA,0.7887638,0.4558605,NA,0.5003905,0.3581161,1.176114,0.7735677
A8K7I4,0.258922028,0.364389967,0.240541218,0.216579972,0.302427028,0.329881078,0.17717474,0.243089696,0.332427695,0.268676291,NA,0.300551,2.100555,0.1459024,0.1257864,0.1469609,0.2745495,0.2186132,0.1811974,0.2020245
O00159,0.205981224,0.133663501,0.181027764,0.218832741,0.327036565,0.112307297,0.190722805,0.259444108,0.131621779,0.040042095,NA,NA,NA,0.1912556,NA,0.1919287,NA,NA,0.1345646,0.04714156
O00299,0.151286354,0.076293811,0.238334555,0.15959315,0.103513468,0.121176422,0.338632361,0.337636118,NA,0.335091874,0.2255876,0.0868842,0.134994,0.2333046,0.3173195,0.1809207,0.1861668,0.09313462,0.2775856,0.4754482
O00757,0.218308463,0.166725174,0.109808459,NA,0.142230975,0.170869616,0.143263565,0.09147839,NA,NA,0.603483,0.1216013,0.08237188,NA,0.06267879,0.0477936,0.07672305,0.3089745,0.07102781,0.1053051
O14791,0.902554029,2.228040716,1.375234398,1.051506585,1.977874151,1.492265603,1.698618838,1.673351442,1.518676771,2.034822437,1.325634,1.3452,1.522327,1.640878,1.099591,0.9215826,1.809701,2.237961,1.379469,1.188083
O14818,0.109178568,0.096162527,0.10224131,0.103479826,0.140551849,0.169887579,0.130495749,0.16375866,0.115845881,0.108442587,0.4292975,0.2396384,0.1185393,0.1836626,0.1991216,0.1480157,0.1781746,0.1178754,0.1316148,0.06509087
O15143,0.089965324,0.168512572,0.259118899,NA,0.138968461,0.129116083,0.131128686,0.127040925,0.178559995,NA,0.9536498,0.09241601,0.07969779,0.3300118,0.1573165,0.09690516,0.1242263,0.1329563,0.1752901,0.143019
O43175,0.110051206,0.125896976,0.04439029,NA,0.048484242,0.027620289,0.038706383,NA,NA,0.025973893,0.1680471,0.1065534,NA,0.197635,0.2267251,NA,0.1944068,0.2060649,0.2028935,NA
O43707,0.23920688,0.1958034,0.190340161,0.208044877,0.186058285,0.297313351,0.267354828,0.153618447,0.395883096,0.192719296,0.1641386,0.1486779,0.1903322,0.1522531,0.1394612,0.1084071,0.1755981,0.1125206,0.1767339,0.09296706
O43760,0.218442958,0.261112187,NA,0.547087479,NA,0.172392815,0.225744755,0.229059544,0.455122498,NA,NA,0.522006,0.2850725,1.316785,0.7133089,NA,0.3808508,0.1618212,0.7047118,0.207492
O43772,0.103344576,0.232327195,NA,0.205624093,NA,NA,0.215575189,NA,0.441620876,NA,NA,0.3163163,0.1505297,0.2547306,0.2111401,0.1469217,0.4355365,NA,0.4865161,0.2038909
O43866,1.828476958,1.593581238,1.36965216,1.410813494,1.570611887,1.83318426,0.705590556,1.864646814,2.294861464,3.184727225,NA,3.264182,2.038431,3.857343,1.878247,4.890513,1.742918,6.679156,1.513641,4.857904
O60506,0.143858043,0.077330424,NA,NA,0.040417379,0.096222746,NA,0.578861024,NA,0.443033211,0.4588904,0.1764753,0.134062,NA,0.0616244,0.0252868,NA,0.09883484,NA,0.03446618
O60547,0.304491852,NA,NA,NA,NA,0.144606338,NA,NA,NA,NA,0.1721451,NA,NA,0.1881833,0.2116966,NA,NA,NA,0.2102646,NA
O60701,NA,0.211686984,0.204757834,0.286643343,0.151925648,0.21841866,NA,0.183406033,0.38573348,NA,0.4265793,0.2569255,0.2190725,0.1040749,NA,NA,0.256233,0.4035944,0.095331,NA
O75083,0.150472457,0.10809085,0.40919882,0.136647781,0.253944023,0.16632046,0.191751922,0.105508316,0.216499751,0.150236071,0.2024881,0.1441627,0.1344044,0.1257512,0.2453052,0.208805,0.2126572,0.1590199,0.1826169,0.1569378
O75306,0.315351579,NA,0.161271506,0.288107689,NA,NA,0.117383843,0.109103618,NA,0.104860357,0.1117831,NA,NA,NA,0.1876118,0.05202615,0.1425278,0.09498734,0.2057756,NA
O75367,0.149466944,0.464777946,0.271282789,0.22296709,0.259388628,0.199633052,0.35094008,0.166932162,NA,0.236478498,0.2776836,0.2558269,0.2519085,0.4714921,0.4638635,0.5420148,NA,0.2247488,0.5118711,0.1891248
O75369,0.184379512,0.346962405,0.243475688,0.101430769,0.332519645,0.545754649,0.354108209,0.036047636,0.266491474,0.185411654,0.1976199,0.2667815,0.4442238,0.2271849,0.3772945,0.2248956,0.3586875,0.374332,0.2732007,0.1780471
O75390,0.153195192,0.333250862,0.459118592,0.351848472,0.156929444,0.129667645,0.154507235,0.079524469,0.188327809,1.171733357,NA,NA,NA,NA,NA,NA,0.2850907,NA,0.3965379,0.1447071
O75396,0.166059184,NA,0.105641045,NA,NA,NA,NA,NA,0.176662955,0.12526363,NA,NA,NA,NA,0.4515095,NA,0.231808,0.8024156,0.3355464,NA
O75452,0.084599153,NA,NA,0.2112774,NA,0.231650609,NA,0.144415563,0.184882332,NA,0.1647545,0.2140175,0.2148623,0.1832189,0.139946,0.1441584,0.1257784,0.2583234,0.2598202,0.1672052
O75533,NA,10.83701099,NA,2.931974145,18.70728057,9.033271274,3.048013478,NA,NA,NA,4.596962,NA,13.30254,8.480072,15.15116,12.6487,0.4052678,4.098274,8.33633,0.06648906
