Category,Term,,Count,%,PValue,LOG10,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,GROUP1,GROUP2,GROUP3
REACTOME_PATHWAY,Regulation of expression of SLITs and ROBOs,A01,9,10.34482759,1.06E-05,4.97E+00,"PSMA5, PSMB6, RPS4X, PSMC5, RPS4Y2, PSMD11, RPL13A, RPL24, UBA52",70,172,11091,8.290614618,0.007715559,0.001549087,0.001262219,At-risk RA vs Healthy,UP,ALL
REACTOME_PATHWAY,Infectious disease,A02,19,21.83908046,3.63E-05,4.44E+00,"GGT5, DYNC1H1, RPS4Y2, PSMD11, XRCC5, PRKCSH, RPL13A, ARPC5, RPS4X, PSMA5, PSMB6, PSMC5, HNRNPK, GNB2, PGK1, RPL24, SNRPD3, UBA52, RAB7A",70,1022,11091,2.945610847,0.026103183,0.00330618,0.002693924,At-risk RA vs Healthy,UP,ALL
REACTOME_PATHWAY,Cellular response to chemical stress,A03,9,10.34482759,5.30E-05,4.28E+00,"PSMA5, PSMB6, PSMC5, PSMD11, COX4I1, BLVRB, CYCS, SOD2, UBA52",70,215,11091,6.632491694,0.03790347,0.004293274,0.003498223,At-risk RA vs Healthy,UP,ALL
REACTOME_PATHWAY,Signaling by ROBO receptors,A04,9,10.34482759,6.04E-05,4.22E+00,"PSMA5, PSMB6, RPS4X, PSMC5, RPS4Y2, PSMD11, RPL13A, RPL24, UBA52",70,219,11091,6.511350294,0.043060789,0.004401408,0.003586333,At-risk RA vs Healthy,UP,ALL
REACTOME_PATHWAY,Selenoamino acid metabolism,A05,7,8.045977011,9.29E-05,4.03E+00,"RPS4X, RPS4Y2, AHCY, CTH, RPL13A, RPL24, UBA52",70,119,11091,9.320168067,0.065467625,0.006155079,0.005015249,At-risk RA vs Healthy,UP,ALL
KEGG_PATHWAY,Metabolic pathways,A06,43,27.38853503,4.30E-07,-6.37E+00,"RPN2, MAOA, MGST3, ADH1A, AK2, HSD17B12, UQCR10, PDHB, FTCD, ALAD, HMGCL, CA1, CA2, ESD, ACADS, HIBCH, NDUFA9, AOC3, FDPS, TPI1, ACSL1, ARG1, AKR1C1, GSS, COX6C, AGMAT, DHRS4, CS, GLUD1, UGDH, PFKL, BHMT, SUCLA2, PC, ACOX2, DAD1, FASN, GSTA2, UQCRC1, FBP1, ALDH7A1, UGT2B7, FBP2",113,1561,8840,2.154960798,8.56E-05,4.28E-05,3.80E-05,At-risk RA vs Healthy,down,ALL
KEGG_PATHWAY,Carbon metabolism,A07,12,7.643312102,2.12E-07,-6.67E+00,"CS, GLUD1, PFKL, SUCLA2, PC, TPI1, ESD, PDHB, ACADS, FBP1, HIBCH, FBP2",113,116,8840,8.092767775,4.22E-05,4.22E-05,3.76E-05,At-risk RA vs Healthy,down,ALL
GOTERM_BP_DIRECT,hydrogen peroxide catabolic process,A08,7,4.458598726,9.06E-08,-7.04E+00,"PRDX2, PRDX5, HBG2, PRDX1, HBD, EPX",157,29,19734,30.33999561,9.36E-05,3.12E-05,3.10E-05,At-risk RA vs Healthy,down,ALL
GOTERM_BP_DIRECT,translation,A09,13,8.280254777,7.38E-08,-7.13E+00,"EEF1A1P5, RPL23, RPL34, RPLP0, RPL9, RPL6, RPL7, RPS25, RPS18, RPL14, RPL35, RPL18, RPS12",157,202,19734,8.089235038,7.63E-05,3.12E-05,3.10E-05,At-risk RA vs Healthy,down,ALL
GOTERM_BP_DIRECT,cytoplasmic translation,A10,12,7.643312102,2.93E-10,-9.53E+00,"RPS25, RPS18, RPL34, RPL23, RPLP0, RPL14, RPL35, RPL18, RPL9, RPL6, RPL7, RPS12",157,97,19734,15.54980629,3.03E-07,3.03E-07,3.01E-07,At-risk RA vs Healthy,down,ALL
