,HP_median,RA_P_median,RA_N_median,SS_median,SSc_median,IIM_median,SLE_median
UBE2D2,0.1828524,1.485082464,0.107686756,0.086509043,0.133901865,0.066992488,NA
PLP2,0.37170925,2.324712396,0.311235969,0.164757063,0.18819727,0.165987878,0.094085276
FBN1,0.1742006,0.642584993,0.174249782,0.093159992,0.154952464,0.078695751,0.089691822
BZW1,0.06270505,0.21949937,0.023546524,0.067200226,0.103986879,0.069628855,0.196365023
HIST1H4A,0.03253244,0.089054046,0.030481985,0.012774854,0.021223608,0.014223221,0.01599827
SAA2,2.872558,7.854952151,0.752630403,0.963064341,0.34373818,2.126210732,0.867558891
ADH1B,0.04231155,0.115350273,0.047995627,0.033448344,0.039191668,0.025902515,0.041589621
SERPINA5,0.080295775,0.274882588,0.26752925,0.257904728,0.193597336,0.331765623,0.17507354
CTH,0.1337247,0.413051013,0.405501529,NA,0.179490608,NA,0.255065341
RTN4,0.0259869,0.112683053,0.087947095,0.033144933,0.027521164,0.044764533,0.052200951
SRI,0.1423093,0.387933884,0.272331292,0.053356211,0.048393848,0.052514746,0.048525767
ECI2,0.102847,0.211193613,0.185071073,NA,NA,NA,NA
GNG12,0.1831758,0.352180601,0.452425716,NA,NA,NA,NA
HYOU1,0.22682665,0.376391189,0.413678681,NA,0.109902247,NA,0.179677033
LSS,0.16260055,0.241024144,0.322393795,NA,NA,NA,NA
TYMP,0.20006255,0.235202389,0.511369668,0.069508415,0.050693658,NA,NA
HADHA,0.1430579,0.34157716,0.246915746,NA,NA,NA,0.055333526
