,X1,X2,X3,X4,Cluster,gene
EPX,0.79,-1.36,-0.14,0.71,cluster1,EPX
ALAD,1.03,-1.33,0.41,-0.11,cluster1,ALAD
MYL12A,1.06,-1.32,0.37,-0.11,cluster1,MYL12A
TSPAN8,1.27,-0.96,-0.62,0.31,cluster1,TSPAN8
FTCD,1.45,-0.73,-0.59,-0.13,cluster1,FTCD
PFKL,1.45,-0.72,-0.6,-0.13,cluster1,PFKL
EIF2S3L,1.44,-0.65,-0.69,-0.1,cluster1,EIF2S3L
RSU1,1.45,-0.68,-0.65,-0.12,cluster1,RSU1
PFN1,1.45,-0.82,-0.45,-0.18,cluster1,PFN1
CORO1B,1.43,-0.91,-0.3,-0.21,cluster1,CORO1B
NDUFA9,1.45,-0.84,-0.35,-0.26,cluster1,NDUFA9
ACOX2,1.36,-1.04,-0.27,-0.05,cluster1,ACOX2
TNC,1.28,-1.09,-0.37,0.18,cluster1,TNC
PSMD13,1.38,-0.61,-0.85,0.09,cluster1,PSMD13
APOA1BP,1.4,-0.43,-0.92,-0.05,cluster1,APOA1BP
HIBCH,1.42,-0.31,-0.92,-0.19,cluster1,HIBCH
PC,1.49,-0.35,-0.67,-0.47,cluster1,PC
ACADS,1.49,-0.5,-0.6,-0.39,cluster1,ACADS
IGKV3D.15,1.5,-0.51,-0.55,-0.44,cluster1,IGKV3D.15
SSB,1.5,-0.52,-0.53,-0.44,cluster1,SSB
RBMXL1,1.48,-0.42,-0.72,-0.34,cluster1,RBMXL1
RDX,1.47,-0.51,-0.71,-0.25,cluster1,RDX
F9,1.42,-0.08,-0.88,-0.46,cluster1,F9
AGMAT,1.45,-0.16,-0.77,-0.52,cluster1,AGMAT
GPD1,1.47,-0.22,-0.73,-0.51,cluster1,GPD1
ITGA6,1.46,-0.21,-0.75,-0.51,cluster1,ITGA6
PDIA6,0.92,0.77,-0.6,-1.09,cluster1,PDIA6
X.4,1.03,0.56,-0.38,-1.22,cluster1,X.4
HADHB,1.2,0.43,-0.96,-0.68,cluster1,HADHB
UQCR10,1.34,0.18,-0.84,-0.68,cluster1,UQCR10
HSPD1,1.36,0.14,-0.66,-0.84,cluster1,HSPD1
RPS25,1.35,0.17,-0.74,-0.78,cluster1,RPS25
HSPB1,1.38,0.04,-0.51,-0.91,cluster1,HSPB1
RPN2,1.42,-0.09,-0.43,-0.89,cluster1,RPN2
RPL34,1.41,-0.15,-0.31,-0.94,cluster1,RPL34
C4BPB,1.38,-0.05,-0.33,-0.99,cluster1,C4BPB
SNX5,1.38,-0.04,-0.35,-0.99,cluster1,SNX5
DIRAS2,1.29,0.26,-0.56,-0.98,cluster1,DIRAS2
GPX3,1.26,0.3,-0.54,-1.01,cluster1,GPX3
PGLYRP2,1.23,0.28,-0.37,-1.13,cluster1,PGLYRP2
ITIH4,1.22,0.21,-0.25,-1.18,cluster1,ITIH4
PEBP1,1.2,0.23,-0.22,-1.21,cluster1,PEBP1
EIF4A1,1.08,-1.01,0.6,-0.67,cluster1,EIF4A1
AK2,1.09,-1.16,0.51,-0.45,cluster1,AK2
ALDH7A1,1.14,-1.08,0.5,-0.56,cluster1,ALDH7A1
EZR,1.26,-1,0.3,-0.56,cluster1,EZR
HBG2,1.31,-0.86,0.25,-0.7,cluster1,HBG2
ARF6,1.24,-0.79,0.38,-0.83,cluster1,ARF6
H3F3A,1.29,-0.69,0.28,-0.88,cluster1,H3F3A
ESYT1,1.34,-0.71,0.18,-0.81,cluster1,ESYT1
GLUD1,1.33,-0.77,0.21,-0.77,cluster1,GLUD1
SEC61A1,1.44,-0.56,-0.12,-0.77,cluster1,SEC61A1
MME,1.41,-0.57,-0.02,-0.82,cluster1,MME
