Category,,Count,%,PValue,LOG10P,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,,,
GOTERM_BP_DIRECT,cytoplasmic translation,9,12.16216216,2.63E-09,-8.58E+00,"RPLP0, RPL35A, RPL13, RPL23A, RPS11, RPL18, RPS10, RPL28, RPL26L1",74,97,19734,24.74310393,1.64E-06,1.64E-06,1.64E-06,NEG,cytoplasmic translation,-8.580607876
REACTOME_PATHWAY,Metabolism,33,44.59459459,8.20E-08,-7.09E+00,"GPI, ALDH1L1, HSP90AB1, GBE1, RPLP0, AK4, UQCR10, FTCD, NDST1, CYB5R3, ALDH1B1, RPL13, AOX1, RPS11, RPL18, RPS10, MDH1, MDH2, RPL35A, APOC3, RPL23A, PGD, HADHB, PSMA5, BHMT, RBP4, ALDH1A1, SUCLG2, RPL28, FBP1, FBP2, RPL26L1, CES1",67,2145,11091,2.546727899,4.32E-05,6.71E-06,6.25E-06,NEG,Metabolism,-7.086365659
GOTERM_BP_DIRECT,gluconeogenesis,6,8.108108108,1.12E-06,-5.95E+00,"GPI, RBP4, MDH1, MDH2, FBP1, FBP2",74,50,19734,32.00108108,7.01E-04,3.51E-04,3.51E-04,NEG,gluconeogenesis,-5.950077582
REACTOME_PATHWAY,rRNA processing,10,13.51351351,3.14E-06,-5.50E+00,"NCL, RPLP0, RPL35A, RPL13, RPL23A, RPS11, RPL18, RPS10, RPL28, RPL26L1",67,205,11091,8.074990899,0.001654765,7.53E-05,7.01E-05,NEG,rRNA processing,-5.50271532
REACTOME_PATHWAY,Signaling by ROBO receptors,10,13.51351351,5.40E-06,-5.27E+00,"PSMA5, RPLP0, RPL35A, RPL13, RPL23A, RPS11, RPL18, RPS10, RPL28, RPL26L1",67,219,11091,7.558781435,0.00283998,1.14E-04,1.06E-04,NEG,Signaling by ROBO receptors,-5.267879065
REACTOME_PATHWAY,Metabolism of amino acids and derivatives,12,16.21621622,9.40E-06,-5.03E+00,"PSMA5, BHMT, RPLP0, RPL35A, RPL13, RPL23A, RPS11, RPL18, RPS10, RPL28, RPL26L1, FTCD",67,367,11091,5.412664199,0.004939199,1.83E-04,1.71E-04,NEG,Metabolism of amino acids and derivatives,-5.02708139
GOTERM_BP_DIRECT,translation,8,10.81081081,9.76E-06,-5.01E+00,"RPLP0, RPL35A, RPL13, RPL23A, RPS11, RPL18, RPS10, RPL28",74,202,19734,10.5614129,0.00608346,0.002034003,0.002034003,NEG,#N/A,-5.010407091
REACTOME_PATHWAY,Axon guidance,14,18.91891892,1.66E-05,-4.78E+00,"HSP90AB1, RPLP0, RPL35A, RPL23A, PSMA5, COL6A1, COL6A3, RPL13, MYH11, RPS11, RPL18, RPL28, RPS10, RPL26L1",67,548,11091,4.229055453,0.008708603,3.12E-04,2.91E-04,NEG,#N/A,-4.779967759
KEGG_PATHWAY,Ribosome,9,12.16216216,1.66E-05,-4.78E+00,"RPLP0, RPL35A, RPL13, RPL23A, RPS11, RPL18, RPS10, RPL28, RPL26L1",60,172,8840,7.709302326,0.00239009,0.002392931,0.002359696,NEG,#N/A,-4.77943231
REACTOME_PATHWAY,Nervous system development,14,18.91891892,2.66E-05,-4.58E+00,"HSP90AB1, RPLP0, RPL35A, RPL23A, PSMA5, COL6A1, COL6A3, RPL13, MYH11, RPS11, RPL18, RPL28, RPS10, RPL26L1",67,573,11091,4.044541689,0.013916636,4.83E-04,4.50E-04,NEG,#N/A,-4.575242486
