Category,Term,Count,%,PValue,LOG10P,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,
KEGG_PATHWAY,hsa04610:Complement and coagulation cascades,14,21.21212121,1.09E-17,1.70E+01,"FGB, SERPINA1, C1S, FGG, C4BPA, C8A, KNG1, C3, C4B, C4A, C5, C6, CFHR1, C9",38,88,8840,37.00956938,1.01E-15,1.01E-15,9.35E-16,UP
GOTERM_BP_DIRECT,"GO:0006958~complement activation, classical pathway",10,15.15151515,8.43E-14,1.31E+01,"C4B, C3, C4A, C5, C6, C1S, C9, C4BPA, IGHA2, C8A",66,52,19734,57.5,3.58E-11,3.58E-11,3.48E-11,UP
REACTOME_PATHWAY,R-HSA-977606~Regulation of Complement cascade,10,15.15151515,9.04E-13,1.20E+01,"C4B, C3, C4A, C5, C6, C1S, CFHR1, C9, C4BPA, C8A",55,47,11091,42.90522244,2.89E-10,2.89E-10,2.65E-10,UP
REACTOME_PATHWAY,R-HSA-168249~Innate Immune System,26,39.39393939,3.30E-12,1.15E+01,"CSTB, SERPINA3, SERPINA1, C1S, HP, C4BPA, C8A, C3, C4B, C4A, C5, C6, C9, S100A12, PGM1, FGB, VAT1, FGG, BPIFB1, LRG1, CFHR1, CAT, ALDOC, ALDOA, S100A9, S100A8",55,1069,11091,4.904600731,1.06E-09,5.28E-10,4.84E-10,UP
REACTOME_PATHWAY,R-HSA-166658~Complement cascade,10,15.15151515,6.78E-12,1.12E+01,"C4B, C3, C4A, C5, C6, C1S, CFHR1, C9, C4BPA, C8A",55,58,11091,34.76802508,2.17E-09,7.24E-10,6.63E-10,UP
GOTERM_BP_DIRECT,GO:0006956~complement activation,8,12.12121212,7.45E-12,1.11E+01,"C4B, C3, C4A, C6, C1S, CFHR1, C9, C8A",66,31,19734,77.16129032,3.16E-09,1.58E-09,1.54E-09,UP
GOTERM_BP_DIRECT,GO:0006953~acute-phase response,7,10.60606061,3.54E-09,8.45E+00,"ITIH4, APCS, SERPINA3, SERPINA1, SAA4, HP, IGHA2",66,40,19734,52.325,1.50E-06,5.01E-07,4.88E-07,UP
KEGG_PATHWAY,hsa05171:Coronavirus disease - COVID-19,11,16.66666667,3.05E-08,7.52E+00,"C4B, FGB, C3, C4A, C5, C6, C1S, C9, RPL37A, FGG, C8A",38,238,8840,10.7518797,2.83E-06,1.42E-06,1.31E-06,UP
GOTERM_BP_DIRECT,GO:0045087~innate immune response,13,19.6969697,1.55E-07,6.81E+00,"FGB, APCS, C1S, C4BPA, C8A, C4B, C4A, C5, C6, S100A12, APOL1, S100A9, S100A8",66,536,19734,7.251865672,6.57E-05,1.64E-05,1.60E-05,UP
REACTOME_PATHWAY,R-HSA-114608~Platelet degranulation ,9,13.63636364,1.79E-07,6.75E+00,"FGB, ITIH4, SERPINA3, ITIH3, SERPINA1, FGG, CD9, ALDOA, KNG1",55,129,11091,14.06892178,5.72E-05,1.43E-05,1.31E-05,UP
REACTOME_PATHWAY,R-HSA-76005~Response to elevated platelet cytosolic Ca2+,9,13.63636364,2.40E-07,6.62E+00,"FGB, ITIH4, SERPINA3, ITIH3, SERPINA1, FGG, CD9, ALDOA, KNG1",55,134,11091,13.54396201,7.68E-05,1.54E-05,1.41E-05,UP
REACTOME_PATHWAY,R-HSA-6798695~Neutrophil degranulation,14,21.21212121,3.46E-07,6.46E+00,"VAT1, CSTB, SERPINA3, SERPINA1, HP, C3, LRG1, CAT, S100A12, ALDOC, ALDOA, S100A9, S100A8, PGM1",55,480,11091,5.881590909,1.11E-04,1.84E-05,1.69E-05,UP
REACTOME_PATHWAY,R-HSA-168256~Immune System,27,40.90909091,6.66E-07,6.18E+00,"CSTB, SERPINA3, SERPINA1, C1S, HP, C4BPA, C8A, C3, C4B, C4A, C5, C6, C9, S100A12, PGM1, FGB, VAT1, FGG, FKBP1A, BPIFB1, LRG1, CFHR1, CAT, ALDOC, ALDOA, S100A9, S100A8",55,2054,11091,2.65076569,2.13E-04,3.04E-05,2.79E-05,UP
REACTOME_PATHWAY,R-HSA-8957275~Post-translational protein phosphorylation,8,12.12121212,8.29E-07,6.08E+00,"C4B, C3, C4A, SERPINA1, FGG, APOL1, CP, KNG1",55,108,11091,14.93737374,2.65E-04,3.32E-05,3.04E-05,UP
KEGG_PATHWAY,hsa05322:Systemic lupus erythematosus,8,12.12121212,1.42E-06,5.85E+00,"C4B, C3, C4A, C5, C6, C1S, C9, C8A",38,139,8840,13.38886785,1.32E-04,4.40E-05,4.07E-05,UP
REACTOME_PATHWAY,R-HSA-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),8,12.12121212,2.23E-06,5.65E+00,"C4B, C3, C4A, SERPINA1, FGG, APOL1, CP, KNG1",55,125,11091,12.90589091,7.12E-04,7.92E-05,7.25E-05,UP
REACTOME_PATHWAY,R-HSA-166665~Terminal pathway of complement,4,6.060606061,6.01E-06,5.22E+00,"C5, C6, C9, C8A",55,8,11091,100.8272727,0.00191999,1.75E-04,1.60E-04,UP
REACTOME_PATHWAY,R-HSA-174577~Activation of C3 and C5,4,6.060606061,6.01E-06,5.22E+00,"C4B, C3, C4A, C5",55,8,11091,100.8272727,0.00191999,1.75E-04,1.60E-04,UP
GOTERM_BP_DIRECT,GO:0006954~inflammatory response,10,15.15151515,9.52E-06,5.02E+00,"C4B, C3, C4A, SERPINA3, C5, S100A12, S100A9, KNG1, S100A8, HNRNPA0",66,422,19734,7.085308057,0.004026552,8.07E-04,7.86E-04,UP
KEGG_PATHWAY,hsa05133:Pertussis,6,9.090909091,1.64E-05,4.78E+00,"C4B, C3, C4A, C5, C1S, C4BPA",38,78,8840,17.89473684,0.001526145,3.82E-04,3.53E-04,UP
GOTERM_BP_DIRECT,"GO:0006957~complement activation, alternative pathway",4,6.060606061,1.85E-05,4.73E+00,"C3, C5, C9, C8A",66,16,19734,74.75,0.007823412,0.001309017,0.001275057,UP
REACTOME_PATHWAY,"R-HSA-76002~Platelet activation, signaling and aggregation",9,13.63636364,3.64E-05,4.44E+00,"FGB, ITIH4, SERPINA3, ITIH3, SERPINA1, FGG, CD9, ALDOA, KNG1",55,263,11091,6.90072589,0.011565734,9.69E-04,8.88E-04,UP
GOTERM_BP_DIRECT,GO:0031640~killing of cells of another organism,5,7.575757576,4.55E-05,4.34E+00,"C5, C6, C9, S100A12, C8A",66,60,19734,24.91666667,0.019109951,0.002756353,0.002684843,UP
KEGG_PATHWAY,hsa05150:Staphylococcus aureus infection,6,9.090909091,5.48E-05,4.26E+00,"C4B, C3, C4A, C5, C1S, FGG",38,100,8840,13.95789474,0.005083264,0.001019218,9.43E-04,UP
REACTOME_PATHWAY,R-HSA-5602498~MyD88 deficiency (TLR2/4),4,6.060606061,7.07E-05,4.15E+00,"FGB, FGG, S100A9, S100A8",55,17,11091,47.44812834,0.022369708,0.001740223,0.001593392,UP
REACTOME_PATHWAY,R-HSA-5603041~IRAK4 deficiency (TLR2/4),4,6.060606061,8.45E-05,4.07E+00,"FGB, FGG, S100A9, S100A8",55,18,11091,44.81212121,0.026692476,0.001932432,0.001769383,UP
REACTOME_PATHWAY,R-HSA-5686938~Regulation of TLR by endogenous ligand,4,6.060606061,1.57E-04,3.80E+00,"FGB, FGG, S100A9, S100A8",55,22,11091,36.66446281,0.049115616,0.003357256,0.003073987,UP
KEGG_PATHWAY,hsa00010:Glycolysis / Gluconeogenesis,5,7.575757576,1.65E-04,3.78E+00,"ALDOC, ALDOB, ALDOA, PGM1, ALDH9A1",38,67,8840,17.36056559,0.015221056,0.002556137,0.002363739,UP
REACTOME_PATHWAY,R-HSA-166663~Initial triggering of complement,4,6.060606061,1.80E-04,3.74E+00,"C4B, C3, C4A, C1S",55,23,11091,35.07035573,0.056084562,0.003607093,0.003302745,UP
KEGG_PATHWAY,hsa00030:Pentose phosphate pathway,4,6.060606061,2.80E-04,3.55E+00,"ALDOC, ALDOB, ALDOA, PGM1",38,31,8840,30.01697793,0.025698308,0.003718662,0.003438763,UP
GOTERM_BP_DIRECT,GO:2000427~positive regulation of apoptotic cell clearance,3,4.545454545,2.95E-04,3.53E+00,"C4B, C3, C4A",66,8,19734,112.125,0.11771001,0.013912889,0.013551941,UP
GOTERM_BP_DIRECT,"GO:0030388~fructose 1,6-bisphosphate metabolic process",3,4.545454545,2.95E-04,3.53E+00,"ALDOC, ALDOB, ALDOA",66,8,19734,112.125,0.11771001,0.013912889,0.013551941,UP
GOTERM_BP_DIRECT,GO:0006000~fructose metabolic process,3,4.545454545,4.73E-04,3.33E+00,"ALDOC, ALDOB, ALDOA",66,10,19734,89.7,0.181623565,0.020038549,0.019518681,UP
REACTOME_PATHWAY,R-HSA-5260271~Diseases of Immune System,4,6.060606061,4.90E-04,3.31E+00,"FGB, FGG, S100A9, S100A8",55,32,11091,25.20681818,0.145077567,0.008705897,0.007971337,UP
REACTOME_PATHWAY,R-HSA-5602358~Diseases associated with the TLR signaling cascade,4,6.060606061,4.90E-04,3.31E+00,"FGB, FGG, S100A9, S100A8",55,32,11091,25.20681818,0.145077567,0.008705897,0.007971337,UP
GOTERM_BP_DIRECT,GO:0006096~glycolytic process,4,6.060606061,5.64E-04,3.25E+00,"ALDOC, ALDOB, ALDOA, PGM1",66,49,19734,24.40816327,0.212723057,0.021737068,0.021173135,UP
GOTERM_BP_DIRECT,GO:0010951~negative regulation of endopeptidase activity,4,6.060606061,6.34E-04,3.20E+00,"SERPINA2, SERPINA3, SERPINA1, KNG1",66,51,19734,23.45098039,0.235924078,0.022416896,0.021835326,UP
REACTOME_PATHWAY,R-HSA-2168880~Scavenging of heme from plasma,3,4.545454545,0.001753591,2.76E+00,"HPX, HP, APOL1",55,13,11091,46.53566434,0.429727896,0.029534161,0.027042217,UP
GOTERM_BP_DIRECT,GO:0098869~cellular oxidant detoxification,4,6.060606061,0.001871289,2.73E+00,"GSTK1, HP, S100A9, CP",66,74,19734,16.16216216,0.548043659,0.0610328,0.059449402,UP
REACTOME_PATHWAY,R-HSA-166058~MyD88:MAL(TIRAP) cascade initiated on plasma membrane,5,7.575757576,0.002183013,2.66E+00,"FGB, FGG, S100A12, S100A9, S100A8",55,113,11091,8.922767498,0.503080721,0.033264956,0.030458226,UP
REACTOME_PATHWAY,R-HSA-168188~Toll Like Receptor TLR6:TLR2 Cascade,5,7.575757576,0.002183013,2.66E+00,"FGB, FGG, S100A12, S100A9, S100A8",55,113,11091,8.922767498,0.503080721,0.033264956,0.030458226,UP
GOTERM_BP_DIRECT,GO:0045921~positive regulation of exocytosis,3,4.545454545,0.002364992,2.63E+00,"FGB, FGG, S100A10",66,22,19734,40.77272727,0.633568702,0.071625471,0.069767263,UP
REACTOME_PATHWAY,R-HSA-181438~Toll Like Receptor 2 (TLR2) Cascade,5,7.575757576,0.002401697,2.62E+00,"FGB, FGG, S100A12, S100A9, S100A8",55,116,11091,8.69200627,0.536740339,0.033414921,0.030595537,UP
REACTOME_PATHWAY,R-HSA-168179~Toll Like Receptor TLR1:TLR2 Cascade,5,7.575757576,0.002401697,2.62E+00,"FGB, FGG, S100A12, S100A9, S100A8",55,116,11091,8.69200627,0.536740339,0.033414921,0.030595537,UP
REACTOME_PATHWAY,R-HSA-109582~Hemostasis,10,15.15151515,0.002850433,2.55E+00,"FGB, ITIH4, SERPINA3, ITIH3, SERPINA1, FGG, CD9, ALDOA, KNG1, S100A10",55,622,11091,3.242034493,0.598858467,0.038005771,0.034799034,UP
KEGG_PATHWAY,hsa04936:Alcoholic liver disease,5,7.575757576,0.00293806,2.53E+00,"C4B, C3, C4A, C5, ALDH9A1",38,144,8840,8.07748538,0.239395507,0.034154949,0.031584146,UP
REACTOME_PATHWAY,R-HSA-8862803~Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,3,4.545454545,0.00504972,2.30E+00,"YWHAE, CAPNS1, LMNA",55,22,11091,27.49834711,0.802102148,0.062150406,0.056906465,UP
REACTOME_PATHWAY,R-HSA-8863678~Neurodegenerative Diseases,3,4.545454545,0.00504972,2.30E+00,"YWHAE, CAPNS1, LMNA",55,22,11091,27.49834711,0.802102148,0.062150406,0.056906465,UP
REACTOME_PATHWAY,R-HSA-166016~Toll Like Receptor 4 (TLR4) Cascade,5,7.575757576,0.005606026,2.25E+00,"FGB, FGG, S100A12, S100A9, S100A8",55,147,11091,6.858998145,0.834531691,0.066441789,0.060835763,UP
GOTERM_BP_DIRECT,GO:0050832~defense response to fungus,3,4.545454545,0.006261553,2.20E+00,"S100A12, S100A9, S100A8",66,36,19734,24.91666667,0.930278413,0.155264835,0.151236738,UP
