,HP,PRE,RA,RA_P,RA_N
ABCB9,0.7669047,0.497997076,1.194795342,1.334280252,0.42758016
ABCF1,1.3411465,2.289944,1.936864145,2.044755943,0.481490113
ACADS,0.15177835,0.070452995,0.06844075,0.066544451,0.075126207
ACADVL,0.05913551,0.06841314,0.099605459,0.097275983,0.131537064
ACOX2,0.2559616,0.1468695,0.182647881,0.18211487,0.192166849
ACSL1,0.2766245,0.1704584,0.17450892,0.193799515,0.06891033
ACTG2,0.20449545,0.099597375,0.084815294,0.085130784,0.086636204
ACTR2,0.1890999,0.1073856,0.099447703,0.101264647,0.032859124
ACY1,0.1497567,0.2378284,0.117043078,0.125287825,0.064355124
ADH1A,0.18865115,0.1176834,0.106120274,0.116212083,0.064382511
ADH1B,0.04231155,0.08626604,0.091659497,0.115350273,0.047995627
AGMAT,0.2676649,0.1758866,0.143378063,0.141564233,0.155447945
AHCY,0.1696715,0.42416205,0.204362786,0.213258063,0.081836001
AHSG,1.808331,1.368007,1.082388692,1.189666697,0.68740978
AK2,0.3824805,0.1639772,0.3049721,0.3259936,0.233034864
AKR1C1,0.3132268,0.1690126,0.173302461,0.174469652,0.113463751
ALAD,0.1635969,0.1084843,0.146076551,0.149170047,0.137136882
ALDH7A1,0.1729132,0.1124864,0.148431836,0.155421559,0.126670747
ANXA6,0.1233126,0.07924316,0.070744297,0.072344519,0.061868584
AOC3,0.31234365,0.16425145,0.193820195,0.220643963,0.075580283
APCS,0.49728,0.8463875,0.734496179,0.818084314,0.207685529
APOA1BP,0.155445,0.08803524,0.071208336,0.069805292,0.101879688
APOC2,1.492582,2.3964675,1.245314117,1.35569417,0.831021022
ARF4,0.1172528,0.1711247,0.184064038,0.176693953,0.187994012
ARF6,0.20949565,0.1099092,0.160287835,0.167413085,0.107810035
ARG1,0.23908765,0.1418928,0.146076758,0.160121837,0.061759122
ARPC5,0.1298578,0.2506834,0.124247686,0.147555431,0.048918182
ASPH,0.1268483,0.050714661,0.027302567,0.045217961,0.023876222
ASPN,0.2191219,0.09879681,0.096547648,0.100109673,0.083462612
ATP5B,0.04890344,0.1338778,0.109117065,0.108415864,0.096845397
BDH2,0.2832896,0.1910028,0.172166361,0.18716883,0.082845349
BGN,0.2363259,0.13586515,0.149780964,0.161901831,0.117291025
BHMT,0.2597256,0.17148635,0.149178399,0.164241787,0.075642455
BLVRB,0.19837325,0.4431379,0.464240473,0.499635864,0.137367006
BRF1,0.3743668,0.1342805,0.169240312,0.172604299,0.164468224
BZW1,0.06270505,0.1579901,0.170762265,0.21949937,0.023546524
C1QA,2.1512385,1.314844,1.1277233,1.34813654,0.919601677
C4BPB,1.893197,1.063304,0.68725539,0.899951575,0.518391214
C9,2.184632,1.339453,1.507745175,1.64314552,0.400125923
CA1,0.217182,0.1121498,0.121572253,0.150778286,0.071202561
CA2,0.417622,0.2075931,0.192348794,0.251450546,0.084624863
CALR,0.2183567,0.12798105,0.117361402,0.124888085,0.053671467
CAND1,0.1921939,0.26843625,0.307521061,0.307156038,0.233463166
CANX,0.617179,0.1035758,0.111124944,0.118423784,0.072210435
CAPN1,0.143604,0.235704926,0.215704426,0.27796884,0.062754004
CAPN2,0.25679125,0.1360704,0.144807098,0.150473399,0.106460033
CAT,0.1991161,0.14337295,0.13097217,0.145552794,0.049707392
CCT6A,0.4515318,0.24120735,0.243884475,0.247765635,0.200835691
CCT6B,0.4007928,0.2861373,0.239543181,0.240564551,0.093304952
CD44,0.2492517,0.49090735,0.417976557,0.449945,0.182149414
CD5L,3.971562,2.5508285,2.271323889,2.591124381,1.09055268
CDH16,0.02859542,0.07753496,0.059923134,0.060795058,0.037705665
CDH17,0.254212,0.1672328,0.174905969,0.192963149,0.08880688
CEACAM8,0.3836264,0.2457486,0.20453151,0.216356182,0.10399162
COL6A2,0.2200194,0.1252837,0.149156208,0.170156311,0.077840527
COPA,0.1537666,0.22498295,0.266486875,0.290264496,0.038480877
COQ9,0.2012155,0.4553908,0.345635558,0.330974332,0.358248708
CORO1B,0.21106235,0.1004092,0.131691503,0.12906461,0.133452855
CORO1C,0.18257745,0.2829153,0.266650715,0.26888589,0.215997612
COX4I1,0.08690723,0.1389186,0.189854943,0.192670962,0.133555027
COX6C,0.3618771,0.120066,0.11502076,0.124702568,0.044100397
COX7A2,0.168812,0.425336,0.283496588,0.284980788,0.284318295
CPB2,2.213383,1.461479,1.482110941,1.603825234,0.622615677
CPN1,0.7562655,2.1920575,1.846474745,1.974775648,0.83829885
CROCC,0.4386392,0.2209157,0.208635752,0.208635752,0.177080976
CRYZ,0.3708511,0.17218,0.185312317,0.202263565,0.098701526
CS,0.260534,0.1668568,0.18425876,0.184078996,0.16713142
CTH,0.1337247,0.5330236,0.405501529,0.413051013,0.405501529
CYB5A,0.1855964,0.15270535,0.118734525,0.179116414,0.044375998
CYCS,0.04425486,0.109179,0.063510877,0.064028181,0.05573818
DAD1,0.2423264,0.1354398,0.205403507,0.22041252,0.089209899
DES,0.218271,0.15021895,0.140857607,0.153779717,0.05845665
DHRS4,0.2360899,0.1481618,0.118119859,0.1356644,0.08078112
DIRAS2,0.1791871,0.1334802,0.09262427,0.097062174,0.078437291
DLAT,0.3606321,0.2456175,0.228065551,0.227690984,0.225368341
DPYSL2,0.10318965,0.167009,0.171039942,0.174514849,0.140801799
DYNC1H1,0.170544,0.2809007,0.216183772,0.217808337,0.196323509
ECI2,0.102847,0.19041825,0.20765447,0.211193613,0.185071073
ECM1,2.570914,1.362035,1.507940779,1.58451403,1.094368418
EEF1A1P5,0.1735401,0.05684469,0.063029502,0.074720779,0.021288629
EEF1G,0.3157864,0.12473855,0.178891917,0.19308832,0.08519012
EIF2S3L,0.29538335,0.1936391,0.201675343,0.191755225,0.220646852
EIF3B,0.0677371,0.1105432,0.103896179,0.104746936,0.11108475
EIF4A1,0.1822696,0.08268866,0.14442301,0.159081956,0.098793553
EPHX1,0.05290388,0.10614125,0.081592701,0.102359518,0.030755122
EPX,0.3441553,0.2187989,0.292284961,0.29022197,0.339956798
ERLIN2,0.57399845,0.1927334,0.221484948,0.244395379,0.063795985
ERP29,0.230049,0.1268195,0.142125663,0.141922252,0.113609763
ESD,0.2076417,0.08805184,0.151611869,0.155427374,0.04478956
ESYT1,0.1562968,0.08243464,0.114745942,0.114650784,0.078945897
ETFA,0.2665298,0.1079266,0.121641882,0.126553004,0.103689985
EZR,0.2034829,0.09664725,0.139938912,0.158326393,0.11736201
F13A1,0.7582352,0.4143126,0.416856038,0.422844942,0.324068337
F2,2.742297,1.9230015,1.557535919,1.682141497,0.96421382
F9,0.5987095,0.389754,0.296951545,0.276547779,0.33654953
FAH,0.2761807,0.4734952,0.247979608,0.24800072,0.232822227
FASN,0.4862238,0.29254545,0.267041658,0.29695371,0.08665284
FBN1,0.1742006,0.247681,0.596539612,0.642584993,0.174249782
FBP1,0.4974177,0.15880785,0.151971003,0.156320732,0.125145844
FBP2,0.2263004,0.1320987,0.12232412,0.123618273,0.115976332
FDPS,0.31555085,0.13846985,0.09514154,0.098719632,0.077416578
FH,0.1710614,0.2814757,0.220575127,0.212540229,0.25171248
FIS1,0.130263,0.1991713,0.158017432,0.153367732,0.085438687
FKBP1A,0.57216585,0.166559,0.176335089,0.193225985,0.071968818
FMO5,0.13399685,0.2460438,0.175493482,0.183941763,0.073954283
FTCD,0.48887735,0.2595041,0.275635094,0.274971865,0.323061266
FTL,0.2029248,0.12019085,0.125758125,0.13446568,0.06238998
GALM,0.07843433,0.2085029,0.127601305,0.123001793,0.149324972
GGT5,0.1215169,0.2319735,0.149616617,0.147179517,0.149230623
GHITM,0.1112992,0.2997216,0.231012726,0.2353043,0.081960322
GLUD1,0.2072582,0.1175908,0.153913884,0.159383168,0.117940374
GMFB,0.2420579,0.4096784,0.296009886,0.299994579,0.082961913
GNB2,0.1631765,0.2535005,0.208188651,0.24709651,0.049011285
GNG12,0.1831758,0.301001,0.428791073,0.352180601,0.452425716
GPD1,0.4359201,0.1954847,0.129119129,0.122946591,0.154399683
GPX3,0.6360723,0.47509925,0.327603249,0.335206554,0.256560252
GSS,0.380372,0.23938405,0.218217999,0.221639539,0.20055569
GSTA2,0.1559418,0.067899635,0.078279525,0.085208689,0.037878451
GSTO1,0.1453277,0.2280346,0.21188192,0.251918343,0.077226875
H1F0,0.2064834,0.06916727,0.064516039,0.068330024,0.049838261
H3F3A,0.1859023,0.053012255,0.102847104,0.118230359,0.040236025
HADHA,0.1430579,0.4467585,0.336095497,0.34157716,0.246915746
HADHB,0.22607975,0.1875021,0.12105479,0.117704662,0.131858677
HBD,0.2800655,0.1558331,0.142169319,0.153728711,0.081123637
HBG2,0.40374865,0.13248225,0.244428459,0.27127282,0.151949834
HIBADH,0.1011021,0.2390146,0.134067358,0.134498603,0.126782193
HIBCH,0.2617697,0.1391401,0.103658408,0.096379127,0.147890551
HIST1H4A,0.03253244,0.12563455,0.074504401,0.089054046,0.030481985
HLA.DRA,0.29114795,0.1084575,0.124296383,0.123789896,0.104075573
HMGCL,0.4565563,0.2259195,0.192055403,0.19086096,0.198055177
HNRNPA0,0.1013703,0.06450959,0.071460087,0.079914558,0.024079458
HNRNPA1L2,0.1047789,0.17273,0.142981577,0.156011966,0.03531172
HNRNPD,0.1136041,0.1705737,0.092328048,0.113350259,0.045864614
HNRNPK,0.1432468,0.2187371,0.225214266,0.24141647,0.029476087
HNRNPU,0.23928575,0.1604346,0.142437953,0.156146631,0.077405219
HPD,0.13506175,0.2898048,0.27650129,0.303167481,0.068556815
HRSP12,0.1080084,0.1700538,0.13044795,0.145358421,0.045704727
HSD11B2,0.06046672,0.0923974,0.094726994,0.09371766,0.0938803
HSD17B12,0.45246935,0.186921,0.191668853,0.203265923,0.086206009
HSD17B13,0.1869957,0.2993385,0.474055833,0.501140775,0.102336326
HSP90AB1,0.1576885,0.11088615,0.084928561,0.098976017,0.056202371
HSPA5,0.2537608,0.1590251,0.15445751,0.180736845,0.055911127
