,Health,APCA+ RA,APCA- RA,Cluster,gene
UGT2B7,1.15,-0.6,-0.55,cluster1,UGT2B7
OLFM4,1.15,-0.6,-0.56,cluster1,OLFM4
PGLYRP2,1.15,-0.58,-0.57,cluster1,PGLYRP2
HSPA8,1.15,-0.58,-0.57,cluster1,HSPA8
PCBP1,1.15,-0.58,-0.57,cluster1,PCBP1
PPIB,1.15,-0.59,-0.57,cluster1,PPIB
RAB11A,1.15,-0.59,-0.56,cluster1,RAB11A
RAB8A,1.15,-0.59,-0.56,cluster1,RAB8A
SLC25A20,1.15,-0.59,-0.56,cluster1,SLC25A20
ACADS,1.15,-0.59,-0.56,cluster1,ACADS
HIST1H1E,1.15,-0.62,-0.54,cluster1,HIST1H1E
LGALS4,1.15,-0.62,-0.53,cluster1,LGALS4
COMT,1.15,-0.62,-0.53,cluster1,COMT
F13A1,1.15,-0.62,-0.53,cluster1,F13A1
HSPB1,1.15,-0.62,-0.53,cluster1,HSPB1
FTL,1.15,-0.61,-0.55,cluster1,FTL
RPL18,1.15,-0.61,-0.54,cluster1,RPL18
CALR,1.15,-0.61,-0.54,cluster1,CALR
GSTA2,1.15,-0.61,-0.54,cluster1,GSTA2
XRCC6,1.15,-0.61,-0.54,cluster1,XRCC6
DES,1.15,-0.64,-0.52,cluster1,DES
STIP1,1.15,-0.64,-0.51,cluster1,STIP1
RPL17,1.15,-0.64,-0.51,cluster1,RPL17
PRDX3,1.15,-0.64,-0.51,cluster1,PRDX3
RPL28,1.15,-0.63,-0.53,cluster1,RPL28
AGMAT,1.15,-0.63,-0.52,cluster1,AGMAT
BRF1,1.15,-0.63,-0.52,cluster1,BRF1
FKBP1A,1.15,-0.63,-0.52,cluster1,FKBP1A
LIMS1,1.15,-0.63,-0.52,cluster1,LIMS1
GSS,1.15,-0.63,-0.52,cluster1,GSS
CPB2,1.15,-0.53,-0.62,cluster1,CPB2
LAMA5,1.15,-0.53,-0.62,cluster1,LAMA5
VDAC2,1.15,-0.53,-0.62,cluster1,VDAC2
DNPEP,1.15,-0.52,-0.63,cluster1,DNPEP
SELENBP1,1.15,-0.52,-0.64,cluster1,SELENBP1
HBD,1.15,-0.51,-0.64,cluster1,HBD
ETFA,1.15,-0.51,-0.64,cluster1,ETFA
ALDH3A2,1.15,-0.56,-0.59,cluster1,ALDH3A2
VAPB,1.15,-0.56,-0.59,cluster1,VAPB
CANX,1.15,-0.56,-0.59,cluster1,CANX
HBG2,1.15,-0.57,-0.59,cluster1,HBG2
CYB5A,1.15,-0.57,-0.59,cluster1,CYB5A
PRDX5,1.15,-0.57,-0.59,cluster1,PRDX5
COX6C,1.15,-0.57,-0.58,cluster1,COX6C
ACTG2,1.15,-0.57,-0.58,cluster1,ACTG2
RAD23B,1.15,-0.58,-0.58,cluster1,RAD23B
2-Mar,1.15,-0.58,-0.58,cluster1,2-Mar
IGHG4,1.15,-0.55,-0.61,cluster1,IGHG4
PHB2,1.15,-0.54,-0.61,cluster1,PHB2
RPL35,1.15,-0.54,-0.61,cluster1,RPL35
CFH,1.15,-0.54,-0.61,cluster1,CFH
FBP1,1.15,-0.54,-0.61,cluster1,FBP1
RDX,1.15,-0.55,-0.6,cluster1,RDX
SUCLA2,1.15,-0.55,-0.6,cluster1,SUCLA2
SH3BGRL3,1.15,-0.56,-0.6,cluster1,SH3BGRL3
TMEM109,1.15,-0.56,-0.6,cluster1,TMEM109
ILF3,1.15,-0.56,-0.6,cluster1,ILF3
HSD17B12,1.15,-0.56,-0.6,cluster1,HSD17B12
PCCB,1.14,-0.41,-0.73,cluster1,PCCB
IGLV1-47,1.14,-0.4,-0.73,cluster1,IGLV1.47
SEC61A2,1.14,-0.4,-0.74,cluster1,SEC61A2
RPL34,1.14,-0.4,-0.74,cluster1,RPL34
FBP2,1.14,-0.4,-0.74,cluster1,FBP2
CA2,1.14,-0.4,-0.74,cluster1,CA2
C9,1.14,-0.39,-0.74,cluster1,C9
PGAM2,1.14,-0.39,-0.74,cluster1,PGAM2
RAB10,1.13,-0.38,-0.75,cluster1,RAB10
HSP90B1,1.13,-0.36,-0.77,cluster1,HSP90B1
A2M,1.13,-0.36,-0.77,cluster1,A2M
CAT,1.13,-0.36,-0.77,cluster1,CAT
LAMP1,1.13,-0.37,-0.76,cluster1,LAMP1
HLA-DRA,1.13,-0.37,-0.76,cluster1,HLA.DRA
VIM,1.13,-0.37,-0.76,cluster1,VIM
GPX3,1.15,-0.47,-0.67,cluster1,GPX3
BHMT,1.15,-0.48,-0.67,cluster1,BHMT
RPL23,1.15,-0.48,-0.67,cluster1,RPL23
