,P_DAS28,LM_DAS28,P_VAS,LM_VAS,P_TJC,LM_TJC,P_SJC,LM_SJC,P_CRP,LM_CRP
CRP,1.81E-06,0.218913425,0.408426036,0.002206334,0.264361115,0.009241529,0.003372843,0.036582291,,
SERPINA3,2.13E-05,0.171987475,0.531961369,0.001364106,0.141796268,0.010751708,0.000240955,0.042509864,1.13E-16,0.018629613
LRG1,3.25E-05,0.169096081,0.922370229,0.000214371,0.071629738,0.01329534,6.41E-05,0.046333741,7.22E-12,0.01573761
HP,0.002459446,0.120961026,0.094538073,0.003585866,0.817016811,-0.001666986,0.017816663,0.027133737,2.76E-09,0.013434163
SAA2,0.002495998,0.156380415,0.783273651,0.000748769,0.356447358,0.00845048,0.041012673,0.026896983,3.45E-07,0.013676199
ORM1,8.41E-05,0.164379399,0.003900525,0.006486025,0.1343577,0.01135053,0.015625936,0.028771137,5.23E-07,0.011686323
RTN1,0.735555776,0.022084709,0.266334656,0.003798292,0.577152371,-0.005887563,0.780000629,0.004888427,1.53E-06,0.016642184
RAB2A,0.312579401,-0.042301426,0.47131467,-0.001611089,0.088039993,-0.012657047,0.944236355,0.000823017,6.59E-06,0.010510716
AHSG,0.0008259,-0.135326131,0.016592895,-0.00522849,0.451632508,-0.005494245,0.007836112,-0.030793544,3.85E-05,-0.009525115
SERPINA1,0.003751029,0.117939378,0.066512971,0.004005644,0.518807782,0.004731677,0.011691595,0.029384685,3.95E-05,0.009571979
ITIH3,0.327147077,0.049554327,0.506036927,-0.001770996,0.310985076,-0.009413564,0.306768064,0.013260961,3.96E-05,0.009978335
FGG,0.008723907,0.106629156,0.624099241,0.001069975,0.539747132,0.004488812,0.090030094,0.019765658,6.42E-05,0.009295347
HPX,0.855677377,0.007444264,0.049592379,-0.004286161,0.517065776,-0.004752905,0.263697138,0.013074268,7.56E-05,0.009226865
ACY1,0.645321331,-0.019240419,0.704260802,0.000847388,0.079895584,-0.013034273,0.506890392,0.008266928,0.000138566,0.008931763
CFHR1,0.087210011,0.070598385,0.310530566,0.002253925,0.601185697,0.003833829,0.988653158,0.000166849,0.000183587,0.008702804
FGB,0.127180853,0.061643456,0.589831163,-0.001166456,0.99958595,-3.77E-06,0.179234663,0.015530856,0.000342573,0.008270169
PGLYRP2,0.028526949,-0.096499898,0.234961994,-0.002790874,0.197903999,-0.010114289,0.415542189,-0.011348045,0.000583956,-0.008868782
AFM,0.010797334,-0.10388206,0.541155736,-0.001336855,0.416491305,-0.005959189,0.014079766,-0.028626489,0.000942004,-0.007733092
PTBP1,0.000376102,-0.199124672,0.002089959,-0.009137308,0.03939035,-0.02096544,0.017308054,-0.036529364,0.000961285,-0.011773208
MAOA,0.147215994,-0.06039827,0.850806078,-0.000417374,0.671120871,-0.003188959,0.909875837,0.001334883,0.001260864,-0.007584377
IGHV3.9,0.43170419,-0.038541128,0.23108429,-0.003231481,0.339982785,-0.008084929,0.45435323,-0.011095484,0.001674434,0.008038198
CCT4,0.282770352,-0.046833112,0.384742154,-0.002019652,0.377287051,0.00698692,0.140302818,-0.01750287,0.002551389,-0.007708719
RPL7,0.40552767,-0.03521556,0.456614349,-0.001686785,0.64932395,0.003437567,0.360996056,-0.010949916,0.002685869,-0.007639199
