Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment1,Fold Enrichment2,Benjamini,FDR,GROUP
GOTERM_BP_DIRECT,acute-phase response,7,41.17647059,1.23E+01,"CRP, SERPINA3, ORM1, SERPINA1, HP, SAA2, ORM2",17,42,19453,190.7156863,2.280386415,1.17E-10,1.17E-10,up
GOTERM_BP_DIRECT,positive regulation of interleukin-1 production,3,17.64705882,4.24E+00,"ORM1, SAA2, ORM2",17,14,19453,245.2058824,2.389530884,0.006082844,0.006082844,up
KEGG_PATHWAY,Complement and coagulation cascades,3,17.64705882,2.844651745,"SERPINA1, C9, FGG",7,86,8644,43.07641196,1.634239522,0.091522575,0.091522575,up
GOTERM_BP_DIRECT,positive regulation of superoxide anion generation,2,11.76470588,1.78701604,"CRP, SOD1",17,20,19453,114.4294118,2.058537665,1,1,up
GOTERM_BP_DIRECT,regulation of immune system process,2,11.76470588,1.448601301,"ORM1, ORM2",17,44,19453,52.01336898,1.716114985,1,1,up
GOTERM_BP_DIRECT,response to hydrogen peroxide,2,11.76470588,1.439008263,"HP, SOD1",17,45,19453,50.85751634,1.706355147,1,1,up
GOTERM_BP_DIRECT,negative regulation of endopeptidase activity,2,11.76470588,1.36132749,"SERPINA3, SERPINA1",17,54,19453,42.38126362,1.627173901,1,1,up
GOTERM_BP_DIRECT,inflammatory response,3,17.64705882,1.310797687,"CRP, SERPINA3, ORM1",17,436,19453,7.873583378,0.896172431,1,1,up
GOTERM_BP_DIRECT,succinate metabolic process,3,4.109589041,-3.70E+00,"ALDH5A1, SUCLG2, SDHB",73,6,19453,133.239726,-2.124633731,0.020940312,0.020672704,down
GOTERM_BP_DIRECT,phospholipid efflux,3,4.109589041,-2.988725591,"APOC2, APOC3, APOA4",73,13,19453,61.49525817,-1.788841629,0.063227453,0.062419435,down
GOTERM_BP_DIRECT,reverse cholesterol transport,4,5.479452055,-4.42E+00,"APOC2, APOC3, APOA4, CES1",73,18,19453,59.21765601,-1.772451213,0.005965701,0.005889462,down
GOTERM_BP_DIRECT,cholesterol efflux,4,5.479452055,-3.78E+00,"NPC2, APOC2, APOC3, APOA4",73,29,19453,36.75578649,-1.56532572,0.020755705,0.020490457,down
GOTERM_BP_DIRECT,gluconeogenesis,6,8.219178082,-5.95E+00,"GPI, RBP4, MDH1, MDH2, FBP1, FBP2",73,50,19453,31.97753425,-1.504844973,3.05E-04,3.02E-04,down
GOTERM_BP_DIRECT,tricarboxylic acid cycle,4,5.479452055,-3.53E+00,"MDH1, MDH2, SUCLG2, SDHB",73,35,19453,30.45479452,-1.483655674,0.026135795,0.025801791,down
GOTERM_BP_DIRECT,cytoplasmic translation,8,10.95890411,-7.35E+00,"RPL35A, RPL13, RPSA, RPL23A, RPS3A, RPS11, RPL18, RPL26L1",73,91,19453,23.42676502,-1.369712321,2.79E-05,2.76E-05,down
GOTERM_BP_DIRECT,triglyceride homeostasis,3,4.109589041,-2.105333702,"APOC2, APOC3, APOA4",73,36,19453,22.206621,-1.346482481,0.30698747,0.303064307,down
GOTERM_BP_DIRECT,cholesterol biosynthetic process,3,4.109589041,-2.059786215,"APOA4, HMGCS2, CES1",73,38,19453,21.03785148,-1.323001385,0.320877449,0.316776779,down
KEGG_PATHWAY,Citrate cycle (TCA cycle),4,5.479452055,-2.989918354,"MDH1, MDH2, SUCLG2, SDHB",59,30,8644,19.53446328,-1.290801483,0.022687259,0.021834355,down
GOTERM_BP_DIRECT,retinol metabolic process,4,5.479452055,-2.95427596,"RBP4, TTR, CYP1A2, ALDH1A1",73,55,19453,19.38032379,-1.287361029,0.063227453,0.062419435,down
KEGG_PATHWAY,"Valine, leucine and isoleucine degradation",5,6.849315068,-3.55E+00,"HADHB, ALDH1B1, AOX1, HMGCS2, HSD17B10",59,48,8644,15.26129944,-1.183591514,0.007581129,0.007296124,down
GOTERM_BP_DIRECT,negative regulation of endopeptidase activity,3,4.109589041,-1.767599638,"AHSG, SERPINC1, SERPINA4",73,54,19453,14.804414,-1.170391222,0.479190822,0.473066977,down
KEGG_PATHWAY,Pentose phosphate pathway,3,4.109589041,-1.740796298,"GPI, FBP1, FBP2",59,31,8644,14.17823948,-1.151622307,0.26841874,0.25832781,down
GOTERM_BP_DIRECT,cellular response to amino acid stimulus,3,4.109589041,-1.629022946,"COL1A2, COL6A1, HMGCS2",73,64,19453,12.49122432,-1.096605007,0.565689398,0.55846014,down
GOTERM_BP_DIRECT,cholesterol homeostasis,5,6.849315068,-3.18E+00,"NPC2, APOC2, APOC3, APOA4, CES1",73,107,19453,12.45231084,-1.095249953,0.046447056,0.045853483,down
GOTERM_BP_DIRECT,cholesterol metabolic process,4,5.479452055,-2.398639923,"NPC2, CYP1A2, APOA4, CES1",73,86,19453,12.39439312,-1.093225267,0.208330648,0.205668275,down
KEGG_PATHWAY,Cholesterol metabolism,4,5.479452055,-2.32311897,"NPC2, APOC2, APOC3, APOA4",59,51,8644,11.49086075,-1.060352562,0.090288956,0.086894634,down
GOTERM_BP_DIRECT,translation,9,12.32876712,-5.83E+00,"RPS4Y2, RPL35A, RPL13, RPSA, RPL23A, RPS3A, RPS11, RPL18, RPL26L1",73,219,19453,10.95121036,-1.039462121,3.05E-04,3.02E-04,down
KEGG_PATHWAY,Tryptophan metabolism,3,4.109589041,-1.493599369,"ALDH1B1, CYP1A2, AOX1",59,42,8644,10.46489104,-1.019734711,0.426827381,0.410781239,down
GOTERM_BP_DIRECT,cellular response to insulin stimulus,4,5.479452055,-2.146142282,"HMGCS2, FBP1, GPLD1, YWHAG",73,106,19453,10.05582838,-1.002417853,0.30698747,0.303064307,down
GOTERM_BP_DIRECT,lung development,3,4.109589041,-1.421093526,"RBP4, CYP1A2, HMGCS2",73,83,19453,9.631787424,-0.983706889,0.659444585,0.651017178,down
KEGG_PATHWAY,Pyruvate metabolism,3,4.109589041,-1.4039921,"ALDH1B1, MDH1, MDH2",59,47,8644,9.35160476,-0.970886143,0.476943414,0.45901321,down
KEGG_PATHWAY,Carbon metabolism,7,9.589041096,-3.95E+00,"GPI, MDH1, MDH2, SUCLG2, SDHB, FBP1, FBP2",59,115,8644,8.917907148,-0.950262946,0.006368837,0.006129407,down
GOTERM_BP_DIRECT,carbohydrate metabolic process,6,8.219178082,-3.25E+00,"GPI, GANAB, ALDH1B1, MDH1, MDH2, FBP1",73,181,19453,8.833572996,-0.946136402,0.043640528,0.043082821,down
KEGG_PATHWAY,Glycolysis / Gluconeogenesis,4,5.479452055,-1.994129298,"GPI, ALDH1B1, FBP1, FBP2",59,67,8644,8.746774602,-0.941847935,0.168512591,0.162177531,down
GOTERM_BP_DIRECT,lipid transport,3,4.109589041,-1.323582827,"APOC2, APOC3, APOA4",73,94,19453,8.504663363,-0.929657128,0.742901978,0.733408023,down
KEGG_PATHWAY,Ribosome,9,12.32876712,-4.86E+00,"RPS4Y2, RPL35A, RPL13, RPSA, RPL23A, RPS3A, RPS11, RPL18, RPL26L1",59,167,8644,7.895666295,-0.897388785,0.001839157,0.001770016,down
KEGG_PATHWAY,Metabolic pathways,23,31.50684932,-3.62E+00,"GPI, MDH1, MDH2, AK4, UQCR10, COMT, HSD17B10, SDHB, FTCD, HADHB, NDST1, GANAB, UGP2, ALDH5A1, ALDH1B1, CYP1A2, ALDH1A1, SUCLG2, AOX1, HMGCS2, FBP1, GPLD1, FBP2",59,1546,8644,2.179621549,-0.338381093,0.007581129,0.007296124,down
