"","Disease remission","Low disease activity","Moderate disease activity","High disease activity","Cluster","gene"
"F9",-1.04,-0.57,0.42,1.19,"cluster5","F9"
"ADH5",-0.94,-0.66,0.36,1.25,"cluster5","ADH5"
"ARG1",-0.88,-0.78,0.49,1.18,"cluster5","ARG1"
"GM2A",-0.73,-0.91,0.45,1.19,"cluster5","GM2A"
"APMAP",-0.79,-0.81,0.34,1.26,"cluster5","APMAP"
"ESD",-0.83,-0.7,0.19,1.34,"cluster5","ESD"
"OGDH",-0.63,-0.93,0.26,1.29,"cluster5","OGDH"
"RPL15",-1.26,-0.29,0.53,1.02,"cluster5","RPL15"
"RPL37A",-1.17,-0.43,0.53,1.07,"cluster5","RPL37A"
"PSAP",-0.96,-0.73,0.63,1.06,"cluster5","PSAP"
"COPA",-0.99,-0.7,0.62,1.07,"cluster5","COPA"
"SERPINC1",-1.1,-0.55,0.59,1.06,"cluster5","SERPINC1"
"C5",-1.1,-0.57,0.63,1.04,"cluster5","C5"
"RPL21",-0.69,-1.03,0.79,0.92,"cluster5","RPL21"
"LCP1",-0.6,-1.09,0.7,0.99,"cluster5","LCP1"
"RPS3",-0.62,-1.07,0.72,0.98,"cluster5","RPS3"
"UBA52",-1.17,-0.5,0.89,0.77,"cluster5","UBA52"
"TGFBI",-1.13,-0.55,0.87,0.81,"cluster5","TGFBI"
"PSMB9",-1.14,-0.53,0.9,0.78,"cluster5","PSMB9"
"ITIH4",-1.14,-0.54,0.89,0.78,"cluster5","ITIH4"
"ARHGAP1",-1.03,-0.69,0.84,0.87,"cluster5","ARHGAP1"
"BCAP31",-0.92,-0.81,0.87,0.86,"cluster5","BCAP31"
"ACTG1",-0.96,-0.76,0.9,0.83,"cluster5","ACTG1"
"EEF1G",-0.82,-0.91,0.91,0.82,"cluster5","EEF1G"
"GNB1",-0.88,-0.82,1.07,0.63,"cluster5","GNB1"
"KNG1",-1.45,0.15,0.8,0.5,"cluster5","KNG1"
"CFH",-1.45,0.14,0.77,0.54,"cluster5","CFH"
"SERPINF2",-1.45,0.11,0.73,0.6,"cluster5","SERPINF2"
"GOT2",-1.47,0.21,0.67,0.59,"cluster5","GOT2"
"BPIFB1",-1.46,0.16,0.7,0.59,"cluster5","BPIFB1"
"CCT5",-1.41,-0.01,0.73,0.69,"cluster5","CCT5"
"RRBP1",-1.39,-0.06,0.74,0.71,"cluster5","RRBP1"
"TKT",-1.33,-0.21,0.7,0.84,"cluster5","TKT"
"S100A9",-1.33,-0.21,0.82,0.72,"cluster5","S100A9"
"UGT2B7",-1.31,-0.24,0.77,0.79,"cluster5","UGT2B7"
"IGLL5",-1.37,-0.05,0.94,0.48,"cluster5","IGLL5"
