Category,Term,Count,%,PValue,LOG10,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,GROUP,GROUP2,,,,,,Innate Immune System,,,,,,,,
REACTOME_PATHWAY,Innate Immune System,9,50,6.31E-06,5.200126441,"CRP, SERPINA3, ORM1, SERPINA1, LRG1, C9, FGG, HP, ORM2",14,1068,11009,6.626605136,8.20E-04,1.64E-04,1.64E-04,LM,UP,,,,,,complement activation,,,,,,,,
REACTOME_PATHWAY,Immune System,10,55.55555556,9.31E-05,4.031265321,"CRP, SERPINA3, ORM1, SERPINA1, LRG1, C9, FGG, HP, ORM2, SOD1",14,2054,11009,3.828418417,0.012024691,0.002016168,0.002016168,LM,UP,,,,,,Neutrophil degranulation,,,,,,,,
REACTOME_PATHWAY,Neutrophil degranulation,6,33.33333333,1.48E-04,3.82846205,"SERPINA3, ORM1, SERPINA1, LRG1, HP, ORM2",14,480,11009,9.829464286,0.019113039,0.00275666,0.00275666,LM,UP,,,,,,Immune System,,,,,,,,
A02,Innate Immune System,10,30.3030303,6.86E-04,3.163446856,"ASAH1, ANPEP, GSTP1, CAPZA1, C9, CFL1, CAT, APEH, CLU, RAB7A",28,1068,11009,3.681447298,0.140786679,0.151685972,0.151685972,2.9,UP,,,,,,negative regulation of apoptotic process,,,,,,,,
A05,complement activation,4,12.12121212,0.001145709,2.940925676,"IGHV3-74, C9, IGHV3-15, CLU",33,126,19462,18.72246272,0.365620062,0.454846472,0.454846472,2.9,UP,,,,,,rRNA processing,,,,,,,,
REACTOME_PATHWAY,Cell-extracellular matrix interactions,3,7.142857143,0.001373299,2.862235038,"FLNA, FERMT2, LIMS1",35,18,11009,52.42380952,0.396100181,0.42610417,0.424943123,5.1,UP,,,,,,negative regulation of endopeptidase activity,,,,,,,,
GOTERM_BP_DIRECT,protein oxidation,2,13.33333333,0.00287452,2.541434645,"GPX1, APOA1",15,4,19462,648.7333333,0.40609587,0.520288144,0.520288144,4,UP,,,,,,Metabolism of amino acids and derivatives,,,,,,,,
GOTERM_BP_DIRECT,establishment of protein localization,3,7.142857143,0.003366672,2.472799131,"VCP, FLNA, LIMS1",41,42,19462,33.90592334,0.796431021,0.660739724,0.660739724,5.1,UP,,,,,,translation,,,,,,,,
REACTOME_PATHWAY,COPI-mediated anterograde transport,4,9.523809524,0.003648657,2.437866961,"RAB1A, ARF4, CAPZB, DCTN2",35,101,11009,12.45714286,0.738548363,0.42610417,0.424943123,5.1,UP,,,,,,Peptide chain elongation,,,,,,,,
GOTERM_BP_DIRECT,positive regulation of substrate adhesion-dependent cell spreading,3,7.142857143,0.004026122,2.395113067,"FLNA, FERMT2, LIMS1",41,46,19462,30.95758218,0.851053094,0.660739724,0.660739724,5.1,UP,,,,,,Regulation of IGF transport and uptake by IGFBPs,,,,,,,,
GOTERM_BP_DIRECT,glycolytic process,3,7.142857143,0.004199617,2.376790326,"TPI1, OGDH, ALDOB",41,47,19462,30.29891022,0.862810643,0.660739724,0.660739724,5.1,UP,,,,,,cytoplasmic translation,,,,,,,,
A03,Neutrophil degranulation,6,18.18181818,0.005619641,2.250291439,"ASAH1, ANPEP, GSTP1, CAT, APEH, RAB7A",28,480,11009,4.914732143,0.712186733,0.469705703,0.469705703,2.9,UP,,,,,,Metabolism,,,,,,,,
A01,Immune System,12,36.36363636,0.006376096,2.195445186,"ASAH1, DCTN2, ANPEP, GSTP1, CAPZA1, C9, CFL1, CAT, FLNB, APEH, CLU, RAB7A",28,2054,11009,2.29705105,0.756741017,0.469705703,0.469705703,2.9,UP,,,,,,protein oxidation,,,,,,,,
GOTERM_BP_DIRECT,blood vessel endothelial cell migration,2,13.33333333,0.00931416,2.030856291,"GPX1, APOA1",15,13,19462,199.6102564,0.816173575,0.842931509,0.842931509,4,UP,,,,,,blood vessel endothelial cell migration,,,,,,,,
A04,negative regulation of apoptotic process,5,15.15151515,0.011531391,1.938118296,"GSTP1, CFL1, CAT, VDAC1, AQP1",33,542,19462,5.440568042,0.989993917,1,1,2.9,UP,,,,,,Metabolism of vitamins and cofactors,,,,,,,,
REACTOME_PATHWAY,Immune System,12,28.57142857,0.039746069,1.400705814,"SEC61A1, VCP, CAPZB, DCTN2, ANPEP, HNRNPA2B1, HLA-DRA, FLNA, ARPC5, PRDX6, PSMB9, LTF",35,2054,11009,1.83764084,0.999999657,0.797563727,0.795390529,5.1,UP,,,,,,Cell-extracellular matrix interactions,,,,,,,,
REACTOME_PATHWAY,Metabolism of amino acids and derivatives,5,10.63829787,0.033352755,-1.476868286,"PSMC5, PSMB4, GLDC, PCBD1, FAH",37,376,11009,3.956656124,0.999997562,0.486725193,0.486725193,5.1,DOWN,,,,,,establishment of protein localization,,,,,,,,
GOTERM_BP_DIRECT,negative regulation of apoptotic process,6,10.16949153,0.0195819,-1.708145173,"ANXA1, NNT, ANXA4, CAT, FLNA, LRP2",57,542,19462,3.779763061,0.999996552,1,1,4,DOWN,,,,,,COPI-mediated anterograde transport,,,,,,,,
GOTERM_BP_DIRECT,negative regulation of endopeptidase activity,3,3.947368421,0.018426107,-1.734566421,"AHSG, SERPINC1, SERPINA4",76,54,19462,14.22660819,0.999992705,0.506741792,0.500367681,LM,DOWN,,,,,,positive regulation of substrate adhesion-dependent cell spreading,,,,,,,,
REACTOME_PATHWAY,rRNA processing,5,10,0.009584547,-2.018428425,"RPL23, RPL13A, RPL15, RPL10A, RPS11",46,205,11009,5.837221633,0.958337566,0.105430013,0.097442891,2.9,DOWN,,,,,,glycolytic process,,,,,,,,
REACTOME_PATHWAY,Immune System,19,32.20338983,0.008875608,-2.051801899,"VAT1, SERPINB1, CPB2, ARF1, ANXA1, PGLYRP2, ARG1, ARPC1A, A1BG, ORM2, AGER, PSMB9, RAB10, PSMB4, CYB5R3, CAT, FLNA, MYH9, PPIA",56,2054,11009,1.818498748,0.976350111,0.095583468,0.087618179,4,DOWN,,,,,,ERK1 and ERK2 cascade,,,,,,,,
GOTERM_BP_DIRECT,negative regulation of endopeptidase activity,3,6,0.008174961,-2.087514294,"AHSG, SERPINC1, AGT",50,54,19462,21.62444444,0.973216647,0.600859656,0.599497163,2.9,DOWN,,,,,,fatty acid biosynthetic process,,,,,,,,
REACTOME_PATHWAY,Regulation of IGF transport and uptake by IGFBPs,5,6.578947368,0.007371046,-2.132470865,"TF, AHSG, SERPINC1, PLG, IGFALS",69,125,11009,6.382028986,0.950763845,0.052631856,0.04526081,LM,DOWN,,,,,,cellular protein localization,,,,,,,,
GOTERM_BP_DIRECT,ERK1 and ERK2 cascade,3,6.382978723,0.007233063,-2.140677779,"TF, YWHAZ, AGT",47,54,19462,23.00472813,0.989372941,1,1,5.1,DOWN,,,,,,Apoptosis,,,,,,,,
GOTERM_BP_DIRECT,negative regulation of endopeptidase activity,3,6.382978723,0.007233063,-2.140677779,"SERPINA3, SERPINC1, AGT",47,54,19462,23.00472813,0.989372941,1,1,5.1,DOWN,,,,,,,,,,,,,,
REACTOME_PATHWAY,Metabolism of vitamins and cofactors,6,7.894736842,0.006858178,-2.163791223,"RBP4, TTR, APOC2, APOC3, AOX1, APOA4",69,194,11009,4.934558494,0.939244285,0.049844261,0.042863615,LM,DOWN,,,,,,,,,,,,,,
