"","Disease remission","Low disease activity","Moderate disease activity","High disease activity","Cluster","gene"
"ST13P4",-0.46,1.37,-0.96,0.04,"cluster2","ST13P4"
"C4B",-0.93,1.17,-0.73,0.49,"cluster2","C4B"
"ALDH5A1",-0.84,1.2,-0.81,0.45,"cluster2","ALDH5A1"
"ADH6",-0.83,1.28,-0.75,0.3,"cluster2","ADH6"
"ARPC1A",-0.76,1.35,-0.76,0.17,"cluster2","ARPC1A"
"STT3A",-0.96,1.39,-0.4,-0.03,"cluster2","STT3A"
"ANP32D",-1.16,1.28,0.05,-0.17,"cluster2","ANP32D"
"P0DOX2",-1.28,1.16,0.05,0.07,"cluster2","P0DOX2"
"PSMD3",0.35,0.52,-1.49,0.62,"cluster2","PSMD3"
"ASAH1",-0.33,0.79,-1.27,0.81,"cluster2","ASAH1"
"MFAP4",-0.14,0.98,-1.34,0.49,"cluster2","MFAP4"
"AGT",-0.36,1.18,-1.17,0.35,"cluster2","AGT"
"CRYL1",-0.46,1.09,-1.15,0.52,"cluster2","CRYL1"
"PRDX6",-0.75,0.77,-0.97,0.95,"cluster2","PRDX6"
"UGT2B4",-1.02,0.41,-0.59,1.2,"cluster2","UGT2B4"
"OGDH",-1.03,0.74,-0.67,0.97,"cluster2","OGDH"
"LTA4H",-0.48,-0.11,-0.84,1.43,"cluster2","LTA4H"
"AP2M1",-0.45,0.07,-0.97,1.36,"cluster2","AP2M1"
"GMDS",-0.69,-0.12,-0.65,1.45,"cluster2","GMDS"
"HNRNPA2B1",-0.66,-0.3,-0.53,1.48,"cluster2","HNRNPA2B1"
"CNN2",-0.66,-0.44,-0.39,1.49,"cluster2","CNN2"
"HLA.DRB1.1",-0.13,-0.02,-1.15,1.29,"cluster2","HLA.DRB1.1"
"ITIH1",0.07,-0.39,-1.02,1.34,"cluster2","ITIH1"
"RPL24",0.11,-0.24,-1.14,1.27,"cluster2","RPL24"
"ATP5A1",0.1,0.3,-1.39,0.99,"cluster2","ATP5A1"
"DPP4",0.12,0.14,-1.34,1.08,"cluster2","DPP4"
"ALDH1L1",0.44,-0.01,-1.38,0.95,"cluster2","ALDH1L1"
"TFRC",0.37,-0.17,-1.28,1.09,"cluster2","TFRC"
"PF4",-0.34,0.15,1.29,-1.1,"cluster1","PF4"
"IGKV2.24",-0.9,0.29,1.28,-0.67,"cluster1","IGKV2.24"
"DIRAS2",-1.1,0.87,0.83,-0.6,"cluster1","DIRAS2"
"RPL35",-0.89,1.38,0.06,-0.55,"cluster1","RPL35"
"ACTN4",-0.83,1.3,0.26,-0.74,"cluster1","ACTN4"
"CFB",-0.9,1.18,0.48,-0.76,"cluster1","CFB"
"IGKC",-0.05,1.41,-0.48,-0.88,"cluster1","IGKC"
"COL1A2",-0.35,1.44,-0.21,-0.88,"cluster1","COL1A2"
"GLOD4",-0.23,1.4,-0.2,-0.97,"cluster1","GLOD4"
"IGKV2.29",-0.31,1.32,0.07,-1.08,"cluster1","IGKV2.29"
"IGHV3.9",-0.19,1.35,-0.09,-1.06,"cluster1","IGHV3.9"
"S100A13",-0.26,1.36,-0.05,-1.04,"cluster1","S100A13"
"SORD",0.15,0.77,0.53,-1.45,"cluster1","SORD"
"HM13",0.08,0.82,0.53,-1.43,"cluster1","HM13"
"OLFM4",-0.33,1.03,0.54,-1.24,"cluster1","OLFM4"
"RPL6",-0.45,1.21,0.34,-1.1,"cluster1","RPL6"
"CNN1",-0.67,1.07,0.62,-1.02,"cluster1","CNN1"
"CA1",-0.56,1.07,0.58,-1.09,"cluster1","CA1"
"CEACAM8",-0.53,1.14,0.48,-1.09,"cluster1","CEACAM8"
"NUTF2",-1.44,0.85,0.45,0.14,"cluster6","NUTF2"
"IGLV3.19",-1.46,0.45,0.77,0.24,"cluster6","IGLV3.19"
"YWHAB",-1.46,0.39,0.79,0.29,"cluster6","YWHAB"
"ETFA",-1.44,0.13,0.79,0.53,"cluster6","ETFA"
"TAGLN2",-1.45,0.19,0.81,0.45,"cluster6","TAGLN2"
"C9",-1.28,-0.28,0.6,0.96,"cluster6","C9"
"SUMO4",-1.42,0.04,0.53,0.84,"cluster6","SUMO4"
"C8B",-1.48,0.45,0.31,0.72,"cluster6","C8B"
"EPCAM",-1.38,0.52,-0.05,0.91,"cluster6","EPCAM"
"SEC22B",-0.6,-1.09,1,0.68,"cluster6","SEC22B"
"SFN",-1.02,-0.7,0.91,0.8,"cluster6","SFN"
"ATP2A2",-0.58,-0.83,1.4,0.01,"cluster6","ATP2A2"
"ITIH3",-0.19,-0.73,1.46,-0.54,"cluster6","ITIH3"
"MTHFD1",0.88,-0.36,-1.25,0.73,"cluster3","MTHFD1"
"HNRNPF",1,-0.39,-1.22,0.6,"cluster3","HNRNPF"
"SDHB",0.63,-0.68,-1.01,1.06,"cluster3","SDHB"
"RAB6B",0.93,-0.78,-0.95,0.8,"cluster3","RAB6B"
"FTL",0.93,-0.54,-1.14,0.75,"cluster3","FTL"
"MDH1",0.83,-0.62,-1.08,0.87,"cluster3","MDH1"
"BPIFB1",1.33,-0.75,-0.79,0.21,"cluster3","BPIFB1"
"H1F0",1.25,-0.92,-0.68,0.35,"cluster3","H1F0"
"RAB14",1.23,-1.02,-0.56,0.35,"cluster3","RAB14"
"HRG",1.42,-0.45,-0.89,-0.08,"cluster3","HRG"
"PCCB",1.47,-0.54,-0.72,-0.21,"cluster3","PCCB"
"FHL1",1.26,-0.19,-1.16,0.09,"cluster3","FHL1"
"TPPP3",1.27,-0.41,-1.08,0.22,"cluster3","TPPP3"
"ORM2",0.07,-1.43,0.59,0.78,"cluster3","ORM2"
"ANXA11",0.15,-1.46,0.58,0.72,"cluster3","ANXA11"
"ATP5G1",0.82,-1.4,-0.02,0.6,"cluster3","ATP5G1"
"SSBP1",1.05,-1.32,-0.1,0.36,"cluster3","SSBP1"
"FGG",-1.06,-0.28,0,1.34,"cluster3","FGG"
"SAA2",-1.18,-0.24,0.19,1.23,"cluster3","SAA2"
"CFI",-1.14,0.09,-0.23,1.28,"cluster3","CFI"
"GCDH",-1.11,-0.04,-0.16,1.32,"cluster3","GCDH"
"SERPINA1",-0.9,-0.14,-0.38,1.42,"cluster3","SERPINA1"
"RPN1",-0.93,-0.1,-0.38,1.41,"cluster3","RPN1"
"DARS",-0.9,-0.32,-0.21,1.43,"cluster3","DARS"
"CAPZB",-0.91,-0.24,-0.28,1.43,"cluster3","CAPZB"
"SERPINA3",-1.05,-0.57,0.45,1.17,"cluster3","SERPINA3"
"CRP.1",-0.98,-0.59,0.31,1.26,"cluster3","CRP.1"
"LRG1",-0.98,-0.55,0.24,1.29,"cluster3","LRG1"
"HP",-0.9,-0.66,0.25,1.3,"cluster3","HP"
"ORM1",-0.86,-0.66,0.17,1.34,"cluster3","ORM1"
"ALDH9A1",-0.66,-0.91,0.27,1.29,"cluster3","ALDH9A1"
"PGM2",-0.78,-0.67,0.05,1.4,"cluster3","PGM2"
"CORO1B",-0.77,-0.61,-0.05,1.43,"cluster3","CORO1B"
"DCN",-0.57,-0.64,-0.26,1.48,"cluster3","DCN"
"GNAI1",-0.63,-0.72,-0.1,1.44,"cluster3","GNAI1"
"GSR",-0.35,-0.93,-0.14,1.41,"cluster3","GSR"
"ITGB6",-0.24,-1.1,0.02,1.32,"cluster3","ITGB6"
"KPNB1",0.29,-1.18,-0.31,1.2,"cluster3","KPNB1"
"NDUFA13",0.35,-0.82,-0.79,1.26,"cluster3","NDUFA13"
"NDUFS1",0.01,-0.9,-0.51,1.39,"cluster3","NDUFS1"
"PLP2",-0.15,-0.57,-0.74,1.45,"cluster3","PLP2"
"ARHGDIB",-0.34,-0.61,-0.54,1.49,"cluster3","ARHGDIB"
"ACTG1",-0.29,-0.73,-0.46,1.48,"cluster3","ACTG1"
"HIST1H1E",0.45,1.03,-1.31,-0.17,"cluster5","HIST1H1E"
"PDIA6",0.29,1.13,-1.27,-0.14,"cluster5","PDIA6"
