Category,Term,Count,%,PValue,LOG10,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,,
GOTERM_BP_DIRECT,acute-phase response,6,50,1.21E-11,1.09E+01,"CRP, SERPINA3, ORM1, SERPINA1, HP, SAA2",12,40,19734,246.675,1.62E-09,1.62E-09,1.62E-09,pos,lm
REACTOME_PATHWAY,Innate Immune System,7,58.33333333,5.14E-05,4.29E+00,"CRP, SERPINA3, ORM1, SERPINA1, LRG1, C9, HP",10,1069,11091,7.262581852,0.002465928,0.002197724,0.001968795,pos,lm
REACTOME_PATHWAY,Platelet degranulation ,4,33.33333333,1.23E-04,3.91E+00,"SERPINA3, ORM1, SERPINA1, SOD1",10,129,11091,34.39069767,0.005872221,0.002197724,0.001968795,pos,lm
REACTOME_PATHWAY,Immune System,8,66.66666667,1.88E-04,3.73E+00,"CRP, SERPINA3, ORM1, SERPINA1, LRG1, C9, HP, SOD1",10,2054,11091,4.31976631,0.008965462,0.002251262,0.002016756,pos,lm
REACTOME_PATHWAY,Neutrophil degranulation,5,41.66666667,3.67E-04,3.44E+00,"SERPINA3, ORM1, SERPINA1, LRG1, HP",10,480,11091,11.553125,0.017461151,0.003522433,0.003155513,pos,lm
REACTOME_PATHWAY,Hemostasis,4,33.33333333,0.011432096,1.94E+00,"SERPINA3, ORM1, SERPINA1, SOD1",10,622,11091,7.132475884,0.424146117,0.078391512,0.07022573,pos,lm
GOTERM_BP_DIRECT,inflammatory response,3,25,0.022084451,1.66E+00,"CRP, SERPINA3, ORM1",12,422,19734,11.69075829,0.94983728,0.591863298,0.591863298,pos,lm
GOTERM_BP_DIRECT,cytoplasmic translation,9,12.16216216,2.63E-09,-8.58E+00,"RPLP0, RPL35A, RPL13, RPL23A, RPS11, RPL18, RPS10, RPL28, RPL26L1",74,97,19734,24.74310393,1.64E-06,1.64E-06,1.64E-06,neg,lm
REACTOME_PATHWAY,Metabolism,33,44.59459459,8.20E-08,-7.09E+00,"GPI, ALDH1L1, HSP90AB1, GBE1, RPLP0, AK4, UQCR10, FTCD, NDST1, CYB5R3, ALDH1B1, RPL13, AOX1, RPS11, RPL18, RPS10, MDH1, MDH2, RPL35A, APOC3, RPL23A, PGD, HADHB, PSMA5, BHMT, RBP4, ALDH1A1, SUCLG2, RPL28, FBP1, FBP2, RPL26L1, CES1",67,2145,11091,2.546727899,4.32E-05,6.71E-06,6.25E-06,neg,lm
GOTERM_BP_DIRECT,gluconeogenesis,6,8.108108108,1.12E-06,-5.95E+00,"GPI, RBP4, MDH1, MDH2, FBP1, FBP2",74,50,19734,32.00108108,7.01E-04,3.51E-04,3.51E-04,neg,lm
