"","Disease remission","Low disease activity","Moderate disease activity","High disease activity","Cluster","gene"
"CDH16",0.54,0.7,0.23,-1.47,"cluster5","CDH16"
"HM13",0.43,0.84,0.17,-1.44,"cluster5","HM13"
"IGLL5",0.39,0.96,0.03,-1.39,"cluster5","IGLL5"
"ARHGDIA",0.38,1.02,-0.06,-1.34,"cluster5","ARHGDIA"
"NDST1",0.65,0.87,-0.18,-1.34,"cluster5","NDST1"
"H2AFJ",0.52,0.93,-0.08,-1.37,"cluster5","H2AFJ"
"AHSG",0.61,1.02,-1.16,-0.47,"cluster5","AHSG"
"SYNCRIP",0.58,1.11,-0.91,-0.78,"cluster5","SYNCRIP"
"RPL23A",0.4,1.23,-0.85,-0.78,"cluster5","RPL23A"
"TTR",0.96,0.64,-0.36,-1.24,"cluster5","TTR"
"SERPINA4",0.91,0.73,-0.43,-1.21,"cluster5","SERPINA4"
"PRDX1",1.03,0.5,-0.27,-1.27,"cluster5","PRDX1"
"ALDH1A1",1.08,0.53,-0.46,-1.15,"cluster5","ALDH1A1"
"PTBP1",1.07,0.53,-0.41,-1.19,"cluster5","PTBP1"
"MDH2",1.04,0.57,-0.41,-1.2,"cluster5","MDH2"
"PEPD",0.84,0.88,-0.76,-0.96,"cluster5","PEPD"
"UBA1",0.41,1.14,-0.38,-1.18,"cluster5","UBA1"
"YWHAG",0.79,0.85,-0.42,-1.22,"cluster5","YWHAG"
"GLO1",0.67,0.93,-0.35,-1.25,"cluster5","GLO1"
"SF3B1",1.27,0.34,-0.76,-0.84,"cluster1","SF3B1"
"HNRNPD",1.28,0.31,-0.68,-0.9,"cluster1","HNRNPD"
"RBP4",1.15,0.5,-0.65,-1,"cluster1","RBP4"
"SUCLG2",1.15,0.47,-0.55,-1.08,"cluster1","SUCLG2"
"ALDH1B1",1.29,0.21,-0.46,-1.04,"cluster1","ALDH1B1"
"RPL18",1.26,0.26,-0.45,-1.07,"cluster1","RPL18"
"RPL26L1",1.26,0.25,-0.44,-1.07,"cluster1","RPL26L1"
"ATP5O",1.4,0.03,-0.62,-0.81,"cluster1","ATP5O"
"PLG",1.35,0.12,-0.52,-0.95,"cluster1","PLG"
"GBE1",1.33,0.12,-0.44,-1.01,"cluster1","GBE1"
"HSP90AB1",1.35,-0.29,0,-1.05,"cluster1","HSP90AB1"
"NCL",1.39,-0.3,-0.1,-0.99,"cluster1","NCL"
"FTCD",1.43,-0.35,-0.19,-0.89,"cluster1","FTCD"
"GSS",1.47,-0.35,-0.35,-0.77,"cluster1","GSS"
"GPI",1.11,0.13,0.07,-1.32,"cluster1","GPI"
"CSRP3",1.13,0.06,0.11,-1.3,"cluster1","CSRP3"
"ITIH2",1.17,-0.07,0.16,-1.26,"cluster1","ITIH2"
"SLC25A5",1.24,-0.14,0.1,-1.2,"cluster1","SLC25A5"
"COL6A1",1.21,-0.13,0.14,-1.22,"cluster1","COL6A1"
"HADHB",1.15,0.22,-0.1,-1.27,"cluster1","HADHB"
"CYB5R3",1.22,0.23,-0.28,-1.17,"cluster1","CYB5R3"
"CCT5",1.15,0.36,-0.3,-1.21,"cluster1","CCT5"
"CAT",1.33,0,-0.26,-1.08,"cluster1","CAT"
"NUCKS1",1.31,-0.11,-0.07,-1.13,"cluster1","NUCKS1"
"FBP1",1.24,0.04,-0.07,-1.21,"cluster1","FBP1"
"AFM",1.26,0.01,-0.09,-1.18,"cluster1","AFM"
"SORD",0.46,0.47,0.57,-1.5,"cluster1","SORD"
"IGLV8.61",0.6,0.29,0.6,-1.48,"cluster1","IGLV8.61"
"ECM1",0.47,0.28,0.72,-1.48,"cluster1","ECM1"
"HSPD1",0.88,0,0.52,-1.4,"cluster1","HSPD1"
"F2",0.76,0.29,0.42,-1.47,"cluster1","F2"
"NPM1",0.86,0.29,0.29,-1.44,"cluster1","NPM1"
"IGFALS",0.86,0.19,0.39,-1.44,"cluster1","IGFALS"
"A2M",0.93,0.49,-0.05,-1.37,"cluster1","A2M"
"IGHV3.21",1,0.23,0.15,-1.38,"cluster1","IGHV3.21"
"CLCA1",0.93,0.22,0.26,-1.42,"cluster1","CLCA1"
"TF",0.96,0.23,0.21,-1.41,"cluster1","TF"
"OLFM4",0.36,-0.38,1.18,-1.15,"cluster1","OLFM4"
"BHMT",0.51,-0.52,1.11,-1.11,"cluster1","BHMT"
"IGHV6.1",0.62,-0.28,0.95,-1.28,"cluster1","IGHV6.1"
"ALDH3A2",0.41,-0.04,0.99,-1.36,"cluster1","ALDH3A2"
"GAPDH",1.17,-0.28,0.31,-1.2,"cluster1","GAPDH"
"LSS",1.19,-0.33,0.31,-1.17,"cluster1","LSS"
"F10",1.35,-0.49,0.1,-0.96,"cluster1","F10"
"SLC25A13",1.26,-0.45,0.26,-1.07,"cluster1","SLC25A13"
"ADH1A",1.32,-0.59,0.2,-0.93,"cluster1","ADH1A"
"GANAB",1.27,-0.56,0.28,-0.99,"cluster1","GANAB"
"ITIH3",0.96,-0.98,0.76,-0.73,"cluster1","ITIH3"
"PHGDH",0.96,-0.46,0.68,-1.19,"cluster1","PHGDH"
"F9",0.97,-0.3,0.6,-1.27,"cluster1","F9"
"CBR1",0.21,0.85,-1.45,0.39,"cluster2","CBR1"
"CLIC1",0.03,0.79,-1.42,0.6,"cluster2","CLIC1"
"RRBP1",-0.08,0.82,-1.38,0.64,"cluster2","RRBP1"
"PDIA6",0.03,1.31,-1.1,-0.24,"cluster2","PDIA6"
"AGT",-0.26,1.21,-1.18,0.24,"cluster2","AGT"
"C3",-0.1,1.04,-1.32,0.38,"cluster2","C3"
"MFAP4",-0.14,1.13,-1.27,0.28,"cluster2","MFAP4"
"C4BPB",-0.9,1.19,-0.75,0.45,"cluster2","C4BPB"
"CFB",-1.06,1.19,-0.55,0.42,"cluster2","CFB"
