colnames-ALL---c-1-15--,P_VAS,P_SJC,P_TJC,P_CRP,X3.1,X3.8,X5.0
HIST2H2BE,0.890730256,0.47526814,0.35036674,0.570217116,1,1,1
CDH16,0.009519027,0.344822636,0.476148718,0.553179033,1,1,1
CROCC,0.176041084,0.318477109,0.978372402,0.171881331,1,1,1
HAO2,0.070472977,0.269000741,0.17980142,0.847162466,0,0,1
ITIH1,0.721723054,0.922393529,0.270758147,0.045143498,0,0,1
S100A10,0.133153155,0.352692459,0.729898398,0.090594795,0,0,1
RPL27,0.753076387,0.694317859,0.854070636,0.43782126,0,0,1
PSMA6,0.850116863,0.428760323,0.932804552,0.89120687,0,0,1
DCTN2,0.714358532,0.410043965,0.459870128,0.138310266,0,1,1
ARHGDIB,0.929895255,0.046102949,0.198568645,0.544541112,0,0,1
FTL,0.473984679,0.2059894,0.699108883,0.921008211,0,0,1
HSDL2,0.62819342,0.292455329,0.758268609,0.087975628,1,1,1
OCIAD2,0.300963764,0.071025347,0.113900417,0.960848027,0,1,1
C4B,0.777970688,0.451795651,0.998041703,0.88902509,0,1,1
DPEP1,0.388375832,0.431764968,0.203272494,0.564652896,0,0,1
SRI,0.008779604,0.011320649,0.141179823,0.521542802,0,0,1
FAH,0.098956864,0.74665448,0.372835324,0.00136584,1,0,1
CD55,0.490531175,0.310664054,0.670399694,0.170512411,1,1,1
RPL26L1,0.006166883,0.011664248,0.293443386,0.772362453,1,1,1
GNB2L1,0.790963448,0.584306641,0.053688442,0.493790774,0,0,1
ORM2,0.016907875,0.359654509,0.396009544,0.177809882,0,1,1
PSMB7,0.332098288,0.16197422,0.466353756,0.092128501,0,0,1
MYO1C,0.68558313,0.610332871,0.852341718,0.288915057,0,0,1
ALDH2,0.64680551,0.593458495,0.881392741,0.18038367,0,1,1
AP2M1,0.084165212,0.188024731,0.078521281,0.891656151,0,0,1
6,0.333453234,0.974202374,0.731847545,0.75982551,0,1,1
MGST3,0.480807457,0.715800081,0.276210736,0.825353982,0,0,1
