,protein,significant protein at 5.1,significant protein at 2.9,significant protein at 4
1,A0A0B4J1V0,NA,2.009785582,NA
2,A0A0B4J1X5,NA,1.778253549,1.400166114
3,A0A0B4J1Y9,-1.314624201,NA,NA
4,O00151,-5.807042183,NA,NA
5,O14521,NA,NA,3.792201045
6,O14791,NA,-1.353142621,NA
7,O15230,-1.519589617,NA,NA
8,O15511,1.961479181,NA,NA
9,O43175,NA,1.424552395,NA
10,O43707,-1.856870628,NA,NA
11,O75083,NA,NA,-1.383817275
12,O75369,NA,1.785537767,NA
13,O75828,1.312468519,NA,NA
14,O75882,1.985879826,NA,NA
15,O75891,1.629486949,NA,NA
16,O95837,NA,NA,1.89086294
17,P00167,NA,-1.51183578,NA
18,P00352,-1.687634553,NA,NA
19,P00387,NA,NA,-1.498179146
20,P00450,NA,-1.664167721,NA
21,P00558,NA,NA,-1.429747998
22,P00736,-1.316418752,-1.645392541,NA
23,P00747,NA,-1.533300211,NA
24,P00915,NA,-1.434152465,NA
25,P01008,-3.381275908,-2.648803051,NA
26,P01011,-1.563258838,NA,NA
27,P01019,-2.377254618,-1.755010165,NA
28,P01714,NA,-1.345280998,1.4562475
29,P01876,2.726134991,NA,NA
30,P01903,2.000719666,NA,NA
31,P02647,NA,NA,1.977533443
32,P02656,NA,-1.697569024,-1.682644995
33,P02747,NA,-1.571764289,NA
34,P02748,NA,1.800426897,1.533176586
35,P02753,NA,NA,-1.683883791
36,P02765,NA,-1.547643001,NA
37,P02787,-1.312500434,NA,NA
38,P02788,1.31144546,NA,NA
39,P02790,-1.689256139,NA,NA
40,P04040,NA,1.556959807,-2.681223938
41,P04075,-5.21659955,NA,NA
42,P04083,NA,NA,-1.834582465
43,P04217,NA,NA,-1.49493704
44,P04406,NA,NA,-1.718927077
45,P05062,2.717088802,NA,NA
46,P05089,NA,NA,-1.368730297
47,P05166,-1.431776475,NA,-1.975183199
48,P06727,NA,NA,-1.476555322
49,P06733,NA,1.727410842,NA
50,P07203,NA,NA,1.483863893
51,P07355,-1.409807863,NA,NA
52,P07737,1.932905201,NA,NA
53,P08123,NA,-1.363641439,NA
54,P08670,NA,-1.412841672,NA
