rep..0...ncol.dat1..,LASSO,COUNT
LGALS3BP,1.754818463,49
MYH9,1.379335255,49
ACTG2,0.824739545,47
TYMP,0.774355682,49
VIM,0.627811591,38
KLKB1,0.585330904,49
SDHB,0.4414561,38
CRP,0.051886394,41
SUCLG1,-0.046782252,36
LAP3,-0.208319519,45
SERPINH1,-0.431918549,49
SLC25A13,-0.594140034,49
PSMA6,-0.600298706,49
S100A8,-0.610802387,49
APOD,-0.75549215,49
ATP5O,-0.846681395,49
CA1,-0.86885922,49
TTR,-0.899621545,49
C5,-0.969610287,49
ECI2,-1.009302318,49
COL1A1,-1.038879582,45
CBR1,-1.616040972,49
