"rep..0...ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1.."
"Responder.HM",-0.847544065885127,-0.87427810082488,-0.888541925883045,-0.87427810082488,-0.878717098347708,-0.843460785114557,-0.827184532253748,-0.613104472886409,-0.831640470916059,-0.613104472886409,-0.855243242112691,-0.859664267753427,-0.887960336740604,-0.855243242112691,-0.859664267753427,-0.83882353429787,-0.851419971118564,-0.613104472886409,-0.843460785114557,-0.613104472886409,-0.882010592683785,-0.613104472886409,-0.855243242112691,-0.851419971118564,-0.613104472886409,-0.613104472886409,-0.613104472886409,-0.864344180830209,-0.823039692452219,-0.83882353429787,-0.855243242112691,-0.784823117261805,-0.613104472886409,-0.613104472886409,-0.831640470916059,-0.613104472886409,-0.879472009698408,-0.884758400709708,-0.613104472886409,-0.613104472886409,-0.887960336740604,-0.847544065885127,-0.884758400709708,-0.847544065885127,-0.613104472886409,-0.859664267753427,-0.613104472886409,-0.855243242112691,-0.878717098347708,-0.843460785114557
"ATP5L",0,0,0,0,0,0,-0.0702174088292214,0,-0.0216711558632612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0488800773596177,0,0,-0.115248330117311,0,0,-0.0216711558632612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGKV2D.28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYB5A",0.107249664682291,0.0233753337374464,0,0.0233753337374464,0,0.124081153649945,0.236532150620397,0,0.168662086077364,0,0.076344050319868,0.0619825708934618,0,0.076344050319868,0.0619825708934618,0.141966122854975,0.0911764761615757,0,0.124081153649945,0,0,0,0.076344050319868,0.0911764761615757,0,0,0,0.0483862552904546,0.19781985901861,0.141966122854975,0.076344050319868,0.305282278783423,0,0,0.168662086077364,0,0.0119029936660146,0.00110982411275344,0,0,0,0.107249664682291,0.00110982411275344,0.107249664682291,0,0.0619825708934618,0,0.076344050319868,0,0.124081153649945
"ADH1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2M",-0.793266462695959,-0.913242747980194,-1.0290853107301,-0.913242747980194,-1.1044587709523,-0.774841519728416,-0.706783817332299,0,-0.740105609881742,0,-0.831467001938988,-0.851235727856666,-1.00464516926346,-0.831467001938988,-0.851235727856666,-0.756744028407765,-0.812147671014243,0,-0.774841519728416,0,-1.0788935045156,0,-0.831467001938988,-0.812147671014243,0,0,0,-0.871454952328029,-0.724504944178551,-0.756744028407765,-0.831467001938988,-0.64125134075687,0,0,-0.740105609881742,0,-0.934815330517081,-0.956843702162018,0,0,-1.00464516926346,-0.793266462695959,-0.956843702162018,-0.793266462695959,0,-0.851235727856666,0,-0.831467001938988,-1.1044587709523,-0.774841519728416
"FGA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1QB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1QC",0.0160532782436865,0.0441780185589689,0.0662695713703658,0.0441780185589689,0.0930273527768565,0.0108191598253072,0,0,0.00145991983969181,0,0.0262504939969519,0.0310085535807427,0.0608680219339316,0.0262504939969519,0.0310085535807427,0.00574407822921844,0.0211422521799993,0,0.0108191598253072,0,0.0841001211614243,0,0.0262504939969519,0.0211422521799993,0,0,0,0.0355733422247815,0,0.00574407822921844,0.0262504939969519,0,0,0,0.00145991983969181,0,0.0482186986621919,0.0520996850526204,0,0,0.0608680219339316,0.0160532782436865,0.0520996850526204,0.0160532782436865,0,0.0310085535807427,0,0.0262504939969519,0.0930273527768565,0.0108191598253072
"ORM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
