rep..0...ncol.dat1..,,,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..
Responder-HM,,,-2.351220724,-3.300025946,-1.592760245,-2.906976265,-3.681320584,-4.53965587,-3.300025946,-1.289488504,-0.626039935,-0.780922841,-3.300025946,-1.592760245,-1.441712218,-0.992212604,-1.743362886,-4.417998414,-1.441712218,-2.906976265,-0.86413689,-3.039397627,-1.289488504,-3.930992032,-0.86413689,-3.555732083,-4.296439944,-0.626039935,-1.893719142,-0.86413689,-1.893719142,-1.743362886,-2.198697282,-1.441712218,-5.017386261,-0.992212604,-1.289488504,-0.992212604,-2.906976265,-2.044069513,-0.703618919,-1.592760245,-2.198697282,-0.86413689,-3.555732083,-2.773145178,-2.198697282,-2.497863066,-0.581921545,-1.441712218,-4.778477016,-1.893719142
ECI2,-1.009302318,49,-1.007058133,-1.283641849,-0.84389548,-1.158838033,-1.412341516,-1.716539628,-1.283641849,-0.783751317,-0.496978393,-0.611236543,-1.283641849,-0.84389548,-0.813823273,-0.707789181,-0.874261167,-1.672811885,-0.813823273,-1.158838033,-0.663876781,-1.199904978,-0.783751317,-1.500035835,-0.663876781,-1.369227723,-1.62935161,-0.496978393,-0.905510438,-0.663876781,-0.905510438,-0.874261167,-0.972373326,-0.813823273,-1.892946998,-0.707789181,-0.783751317,-0.707789181,-1.158838033,-0.938722935,-0.551011756,-0.84389548,-0.972373326,-0.663876781,-1.369227723,-1.118350064,-0.972373326,-1.041871429,,-0.813823273,-1.804496631,-0.905510438
CA1,-0.86885922,49,-0.835496291,-1.1166408,-0.693055688,-0.987541417,-1.253115898,-1.589662782,-1.1166408,-0.653265725,-0.410716147,-0.521286691,-1.1166408,-0.693055688,-0.672574221,-0.605890851,-0.714605711,-1.540426714,-0.672574221,-0.987541417,-0.570451419,-1.029629108,-0.653265725,-1.346995498,-0.570451419,-1.206837221,-1.491323558,-0.410716147,-0.740105003,-0.570451419,-0.740105003,-0.714605711,-0.802920773,-0.672574221,-1.790581376,-0.605890851,-0.653265725,-0.605890851,-0.987541417,-0.771809972,-0.46249161,-0.693055688,-0.802920773,-0.570451419,-1.206837221,-0.946458206,-0.802920773,-0.869956564,,-0.672574221,-1.690186021,-0.740105003
SERPINC1,-0.120627541,3,,,,,,,,,-0.144936782,,,,,,,,,,,,,,,,,-0.144936782,,,,,,,,,,,,,-0.07200906,,,,,,,,,,,
SERPINA1,0.012802037,11,,,,,,,,0.00138468,,0.011549382,,,,0.019421952,,,,,0.016713282,,0.00138468,,0.016713282,,,,,0.016713282,,,,,,0.019421952,0.00138468,0.019421952,,,,,,0.016713282,,,,,,,,
C5,-0.969610287,49,-0.971109903,-1.295738538,-0.779150616,-1.149017762,-1.446754993,-1.817747584,-1.295738538,-0.696606201,-0.309316678,-0.484540098,-1.295738538,-0.779150616,-0.737970773,-0.611554836,-0.820288439,-1.763243616,-0.737970773,-1.149017762,-0.552012401,-1.19748802,-0.696606201,-1.548899648,-0.552012401,-1.395601723,-1.708702767,-0.309316678,-0.861043592,-0.552012401,-0.861043592,-0.820288439,-0.935211366,-0.737970773,-2.039955647,-0.611554836,-0.696606201,-0.611554836,-1.149017762,-0.900161436,-0.397609782,-0.779150616,-0.935211366,-0.552012401,-1.395601723,-1.100910731,-0.935211366,-1.009614749,,-0.737970773,-1.928849958,-0.861043592
IGLV1-51,0.085763417,18,,0.066804489,,0.037421286,0.093578008,0.151527515,0.066804489,,,,0.066804489,,,,,0.144003884,,0.037421286,,0.047674719,,0.109888142,,0.084465929,0.135884058,,,,,,,,0.181868851,,,,0.037421286,,,,,,0.084465929,0.026604362,,0.003787178,,,0.167315602,
COL1A1,-1.038879582,45,-1.043750666,-1.691749395,-0.537962354,-1.422295123,-1.947143477,-2.509996506,-1.691749395,-0.30331223,,,-1.691749395,-0.537962354,-0.422570167,-0.092652916,-0.650143464,-2.431094731,-0.422570167,-1.422295123,-0.015576327,-1.513994112,-0.30331223,-2.111478008,-0.015576327,-1.863174036,-2.351644586,,-0.755716183,-0.015576327,-0.755716183,-0.650143464,-0.948943074,-0.422570167,-2.820597522,-0.092652916,-0.30331223,-0.092652916,-1.422295123,-0.852111853,,-0.537962354,-0.948943074,-0.015576327,-1.863174036,-1.328472621,-0.948943074,-1.136592565,,-0.422570167,-2.665589734,-0.755716183
CRP.1,0.051886394,41,0.064174353,0.06990523,0.040563702,0.070722516,0.066635205,0.066611784,0.06990523,0.017562288,,,0.06990523,0.040563702,0.029773536,0.003610827,0.050523999,0.066496058,0.029773536,0.070722516,,0.070890814,0.017562288,0.063223997,,0.067561964,0.065952456,,0.058321865,,0.058321865,0.050523999,0.063571344,0.029773536,0.068670852,0.003610827,0.017562288,0.003610827,0.070722516,0.062440751,,0.040563702,0.063571344,,0.067561964,0.069976159,0.063571344,0.066153374,,0.029773536,0.068076949,0.058321865
TTR,-0.899621545,49,-1.00828823,-1.32083207,-0.705268332,-1.19412979,-1.444131107,-1.715989616,-1.32083207,-0.559392343,-0.172369651,-0.276595605,-1.32083207,-0.705268332,-0.633002711,-0.415530857,-0.776289564,-1.678051607,-0.633002711,-1.19412979,-0.340433456,-1.236734493,-0.559392343,-1.525185872,-0.340433456,-1.403601846,-1.640174034,-0.172369651,-0.841454988,-0.340433456,-0.841454988,-0.776289564,-0.95367898,-0.633002711,-1.866500807,-0.415530857,-0.559392343,-0.415530857,-1.19412979,-0.898026704,-0.219605404,-0.705268332,-0.95367898,-0.340433456,-1.403601846,-1.15120701,-0.95367898,-1.0607052,,-0.633002711,-1.79113116,-0.841454988
