"ID","i","coef"
"GGT1",1,-1.80237429630151
"RPL27A",1,0.505492057551759
"GGT1",2,-3.51370785797111
"RPL27A",2,4.56508075869988
"GGT1",3,-0.63881011085513
"RPL27A",3,0.567922991788014
"GGT1",4,-2.57584475241344
"RPL27A",4,1.85537742900588
"GGT1",5,-1.8950813403195
"RPL27A",5,1.15551088531292
"GGT1",6,-3.26898790733049
"RPL27A",6,4.1150331784117
"GGT1",7,-4.12716023483829
"RPL27A",7,3.72602731882208
"GGT1",8,-4.12172905906289
"RPL27A",8,3.64256400122188
"GGT1",9,-2.23141765030059
"RPL27A",9,1.46239178118278
"GGT1",10,-1.37095757056376
"RPL27A",10,1.81465165058437
"GGT1",11,-4.06285280314467
"RPL27A",11,3.62222881937109
"GGT1",12,-2.18864212821098
"RPL27A",12,3.12684033062203
"GGT1",13,-1.74562053514328
"RPL27A",13,3.33183826318738
"GGT1",14,-1.22606810700204
"RPL27A",14,1.56893567068573
"GGT1",15,-2.01827843571928
"RPL27A",15,3.06731308305949
"GGT1",16,-2.43039192531958
"RPL27A",16,1.71195645209168
"GGT1",17,-3.69382510055712
"RPL27A",17,2.8793939508931
"GGT1",18,-3.44831923363719
"RPL27A",18,3.6250994251837
"GGT1",19,-1.9284432976462
"RPL27A",19,2.86224792111819
"GGT1",20,-2.68515292497943
"RPL27A",20,1.52957899698656
"GGT1",21,-5.23325919248076
"RPL27A",21,4.20049416794065
"GGT1",22,-3.76676496008441
"RPL27A",22,3.20759223688249
"GGT1",23,-1.10010514989984
"RPL27A",23,1.58769292266044
"GGT1",24,-2.5622079708172
"RPL27A",24,3.16843434220459
"GGT1",25,-2.39991855748835
"RPL27A",25,1.91540579046777
"GGT1",26,-4.83078534858387
"RPL27A",26,2.26610788142621
"GGT1",27,-4.62955282076975
"RPL27A",27,2.71055958763178
"GGT1",28,-2.97563128068867
"RPL27A",28,3.32094185513766
"GGT1",29,-1.90661761095554
"RPL27A",29,2.51140303369479
"GGT1",30,-1.67551802359389
"RPL27A",30,2.04626461133424
"GGT1",31,-1.58829887893173
"RPL27A",31,2.19190066201197
"GGT1",32,-3.8130112591628
"RPL27A",32,2.53419429947484
"GGT1",33,-3.72037075913511
"RPL27A",33,3.55570609631922
"GGT1",34,-2.39077715136061
"RPL27A",34,2.48731672756863
"GGT1",35,-1.59959806478902
"RPL27A",35,3.60698215703465
"GGT1",36,-1.9500861722327
"RPL27A",36,0.857479300507087
"GGT1",37,-3.40491625139474
"RPL27A",37,3.37360983402342
"GGT1",38,-1.20193310165033
"RPL27A",38,0.791022423033415
"GGT1",39,-3.16170094725803
"RPL27A",39,1.86387195644239
"GGT1",40,-2.97038547402079
"RPL27A",40,1.28161421020965
"GGT1",41,-3.45623798494249
"RPL27A",41,3.74261880049406
"GGT1",42,-3.13181246768797
"RPL27A",42,5.29524181501478
"GGT1",43,-4.3641035950065
"RPL27A",43,3.30284858255925
"GGT1",44,-0.687659623576563
"RPL27A",44,1.14352384997182
"GGT1",45,-0.00408847478240955
"RPL27A",45,0.00244899001930871
"GGT1",46,-4.09653948644251
"RPL27A",46,1.94846571341047
"GGT1",47,-1.32318419911076
"RPL27A",47,0.777482043044532
"GGT1",48,-2.2947031148036
"RPL27A",48,4.03950207967943
"GGT1",49,-2.31569104069454
"RPL27A",49,3.54693049046188
"GGT1",50,-1.58478490664093
"RPL27A",50,1.19556208437391
"GGT1",51,-3.56337563565864
"RPL27A",51,4.04052161415989
"GGT1",52,-1.48172429863237
"RPL27A",52,1.74309238997634
"GGT1",53,-3.07200798397237
"RPL27A",53,3.54150838696969
"GGT1",54,-4.13680223952147
"RPL27A",54,2.99514102275701
"GGT1",55,-3.12869091511474
"RPL27A",55,4.04900688579799
"GGT1",56,-3.54541735980763
"RPL27A",56,3.62033554394545
"GGT1",57,-2.29901291155058
"RPL27A",57,1.58453681165057
"GGT1",58,-2.59230585681439
"RPL27A",58,1.79924116968221
"GGT1",59,-0.911788393857922
"RPL27A",59,2.01356763483236
"GGT1",60,-2.07881482407189
"RPL27A",60,3.90340671315518
"GGT1",61,-3.33871789924725
"RPL27A",61,3.6442075910826
"GGT1",62,-1.54584173901251
"RPL27A",62,1.73127224291485
"GGT1",63,-2.72740585300671
"RPL27A",63,3.97887174934008
"GGT1",64,-2.10903791732767
"RPL27A",64,1.8790704710572
"GGT1",65,-4.60800687582627
"RPL27A",65,2.94431677543986
"GGT1",66,-1.95387307711057
