Category,Term,Count,%,PValue,PValue2,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,,
GOTERM_BP_DIRECT,translation,7,25.92592593,3.45E-07,6.46E+00,"RPL30, EEF1A1P5, RPS18, RPL34, RPL18, RPL17, UBA52",27,215,19256,23.21998277,7.11E-05,3.56E-05,3.54E-05,UP,All
REACTOME_PATHWAY,Metabolism,17,62.96296296,5.16E-07,6.29E+00,"RPL30, GOT1, PTGES3, RPL34, IDH2, ALDH6A1, RBP4, PC, TTR, RPS18, OGN, SUCLG1, UQCRC2, RPL18, UBA52, RPL17, PCK2",25,2127,11044,3.530756935,2.72E-04,1.26E-04,1.18E-04,UP,All
REACTOME_PATHWAY,Metabolism of amino acids and derivatives,8,29.62962963,1.03E-05,4.99E+00,"ALDH6A1, RPL30, GOT1, RPS18, RPL34, RPL18, RPL17, UBA52",25,375,11044,9.424213333,0.005438566,2.87E-04,2.70E-04,UP,All
REACTOME_PATHWAY,Viral Infection Pathways,9,33.33333333,2.44E-04,3.61E+00,"FKBP1A, GANAB, RPL30, RPS18, RPL34, PTGES3, RPL18, RPL17, UBA52",25,830,11044,4.790168675,0.120986351,0.004604968,0.004325879,UP,All
REACTOME_PATHWAY,Axon guidance,7,25.92592593,9.52E-04,3.02E+00,"RPL30, RPS18, RPL34, MYH11, RPL18, RPL17, UBA52",25,553,11044,5.591898734,0.395269681,0.016757773,0.01574215,UP,All
REACTOME_PATHWAY,Infectious disease,9,33.33333333,9.99E-04,3.00E+00,"FKBP1A, GANAB, RPL30, RPS18, RPL34, PTGES3, RPL18, RPL17, UBA52",25,1022,11044,3.890254403,0.409970852,0.017010318,0.015979389,UP,All
KEGG_PATHWAY,Neutrophil extracellular trap formation,3,37.5,0.004629551,-2.33E+00,"C3, FGA, SLC25A6",6,191,8662,22.67539267,0.239498911,0.273143511,0.273143511,DOWN,All
REACTOME_PATHWAY,Cytoprotection by HMOX1,2,25,0.034277803,-1.46E+00,"BLVRB, CYCS",7,64,11044,49.30357143,0.995187301,1,1,DOWN,All
KEGG_PATHWAY,Complement and coagulation cascades,2,25,0.048677135,-1.31E+00,"C3, FGA",6,86,8662,33.57364341,0.947356085,0.717987739,0.717987739,DOWN,All
REACTOME_PATHWAY,Infectious disease,7,31.81818182,0.005846641,2.23E+00,"RPL30, RPS18, NCL, PTGES3, SLC25A5, RPL18, RPL17",20,1022,11044,3.782191781,0.622200135,0.031563552,0.025859296,UP,Female
